field_id,sea_name,crop_name,crop_desc,tkw_of_planted_seed_g,germination_pct
clim1,26/27,p,"Perennial cereal rye population from Germany, seed from Seed Increase 25/26",XX,XX
clim1,26/27,p,"Perennial cereal rye population from Germany, seed from Seed Increase 25/26",XX,XX
clim1,26/27,leg1,Trifolium resupinatum (annual Persian clover cv. Pasat) ordered from XX,unknkown,unknkown
clim1,26/27,p,"Perennial cereal rye population from Germany, seed from Seed Increase 25/26",XX,XX
clim1,26/27,leg2,Medicago lupulina (perennial Black medic cv. Virgo pajbjerg) ordered from XX,unknkown,unknkown
clim1,26/27,p,"Perennial cereal rye population from Germany, seed from Seed Increase 25/26",XX,XX
clim1,26/27,buck,Fagopyrum esculentum (buckwheat cv. Lileja),unknkown,unknkown
clim1,26/27,w,Perennial wheat (Triticum spp. x Thinopyrum spp.) from The Land Institute B1107E produced 2025,unknkown,unknkown
clim1,26/27,a,Dukato population rye ordered from DLG (organic seed),XX,XX
clim1,26/27,p,"Perennial cereal rye population from Germany, seed from Seed Increase 25/26",XX,XX
clim1,26/27,a,Dukato population rye ordered from DLG (organic seed),XX,XX
clim1,26/27,borris,A landrace rye offered by Landsorten - Claus emailed Bjarne about getting seed,unknkown,unknkown
clim1,26/27,reimontra,"Claus obtained seed from “Revierberatung Wolmersdorf” 
https://www.saatgut-shop.de/product_info.php?info=p208_roggen---waldstaudenroggen-reimonta---secale-multicaule----1-kg.html
 in 2026, likely a tetraploid but we are unsure",unknkown,unknkown
