field_id,sea_name,crop_name,crop_desc,tkw_of_planted_seed_g,germination_pct
sexy1,24/25,a,Annual cereal rye (SU Thor) hybrid,42,95
sexy1,24/25,a,Annual cereal rye (SU Thor) hybrid,42,95
sexy1,24/25,p,"Perennial cereal rye population from Germany, seed from Foulum 23/24 season (which had 2% ergot when received)",27,86
sexy1,24/25,p,"Perennial cereal rye population from Germany, seed from Foulum 23/24 season (which had 2% ergot when received)",27,86
sexy1,25/26,oats,XXXXX,XX,XX
sexy1,26/27,a,Annual cereal rye (XXXXX) hybrid,XX,XX
sexy1,26/27,a,Annual cereal rye (XXXXX) hybrid,XX,XX
sexy1,26/27,p,"Perennial cereal rye population from Germany, seed from Seed Increase 25/26 season",XX,XX
sexy1,26/27,p,"Perennial cereal rye population from Germany, seed from Seed Increase 25/26 season",XX,XX
