field_id,sea_name,crop_name,crop_desc,tkw_of_planted_seed_g,germination_pct
sexy2,25/26,a,Annual cereal rye (SU Thor) hybrid,XXX,need to look up
sexy2,25/26,p,"Perennial cereal rye population from Germany, seed from Seed Increase 24/25 season",XXX,need to look up
sexy2,26/27,a,Annual cereal rye (XX) hybrid,XX,TBD
sexy2,26/27,p,"Perennial cereal rye population from Germany, seed from Seed Increase 25/26 season",XX,TBD
