eu_key,loc_id,sea_key,trt_id,plot_id
00_24/25_17West_408W,eusun1,24/25,17West,408W
00_24/25_17East_408E,eusun1,24/25,17East,408E
00_24/25_18West_455W,eusun1,24/25,18West,455W
00_24/25_18East_455E,eusun1,24/25,18East,455E
00_24/25_17West_313W,eusun1,24/25,17West,313W
00_24/25_17East_313E,eusun1,24/25,17East,313E
00_24/25_18West_369W,eusun1,24/25,18West,369W
00_24/25_18East_369E,eusun1,24/25,18East,369E
00_24/25_17West_204W,eusun1,24/25,17West,204W
00_24/25_17East_204E,eusun1,24/25,17East,204E
00_24/25_18West_203W,eusun1,24/25,18West,203W
00_24/25_18East_203E,eusun1,24/25,18East,203E
00_24/25_17West_126W,eusun1,24/25,17West,126W
00_24/25_17East_126E,eusun1,24/25,17East,126E
00_24/25_18West_166W,eusun1,24/25,18West,166W
00_24/25_18East_166E,eusun1,24/25,18East,166E
