field_id,field_place,field_number,field_lat,field_lon,field_country
eusun1,foulum,unknown,56.496272,9.60122,Denmark
sexy1,flakkebjerg,22,55.324979,11.394706,Denmark
sexy2,flakkebjerg,06,55.325846,11.386327,Denmark
seed1,flakkebjerg,19,55.331113,11.385372,Denmark
clim1,flakkebjerg,37,55.316281,11.388394,Denmark
cents,flakkebjerg,xx,55.327832,11.381913,Denmark
