field_id,sea_name,trt_name,block,plot,data_type,value
sexy1,24/25,p,B1,101,grain_Mgha,3.0505640000000005
sexy1,24/25,p,B1,101,gprotein_pct,13.105379857626328
sexy1,24/25,p,B1,101,gmois_pct,14.31
sexy1,24/25,p,B1,101,tkw_g,22.142295999999998
sexy1,24/25,p,B1,101,straw_Mgha,8.00462100404904
sexy1,24/25,p,B1,101,smois_pct,6.923011580825101
sexy1,24/25,xaprows,B1,102,grain_Mgha,6.091872000000001
sexy1,24/25,xaprows,B1,102,gprotein_pct,12.225338943431511
sexy1,24/25,xaprows,B1,102,gmois_pct,14.44
sexy1,24/25,xaprows,B1,102,tkw_g,27.516095999999997
sexy1,24/25,xaprows,B1,102,straw_Mgha,5.061083979917845
sexy1,24/25,xaprows,B1,102,smois_pct,5.576791419443183
sexy1,24/25,pcc,B1,103,grain_Mgha,4.375290000000001
sexy1,24/25,pcc,B1,103,gprotein_pct,13.253292924583285
sexy1,24/25,pcc,B1,103,gmois_pct,14.21
sexy1,24/25,pcc,B1,103,tkw_g,22.854456
sexy1,24/25,pcc,B1,103,straw_Mgha,6.9130704171814115
sexy1,24/25,pcc,B1,103,smois_pct,6.072412810035166
sexy1,24/25,xa,B1,104,grain_Mgha,8.419213999999998
sexy1,24/25,xa,B1,104,gprotein_pct,11.243876209821963
sexy1,24/25,xa,B1,104,gmois_pct,16.31
sexy1,24/25,xa,B1,104,tkw_g,32.6391
sexy1,24/25,xa,B1,104,straw_Mgha,4.999122994225283
sexy1,24/25,xa,B1,104,smois_pct,9.681346970013216
sexy1,24/25,a,B1,105,grain_Mgha,9.009802083333334
sexy1,24/25,a,B1,105,gprotein_pct,11.356843992827256
sexy1,24/25,a,B1,105,gmois_pct,16.35
sexy1,24/25,a,B1,105,tkw_g,33.66076
sexy1,24/25,a,B1,105,straw_Mgha,5.147456795343973
sexy1,24/25,a,B1,105,smois_pct,10.435138453144187
sexy1,24/25,aprows,B1,106,grain_Mgha,5.443416
sexy1,24/25,aprows,B1,106,gprotein_pct,12.517580872011251
sexy1,24/25,aprows,B1,106,gmois_pct,14.68
sexy1,24/25,aprows,B1,106,tkw_g,25.732512
sexy1,24/25,aprows,B1,106,straw_Mgha,6.018524389247487
sexy1,24/25,aprows,B1,106,smois_pct,6.544652340877533
sexy1,24/25,xacc,B1,107,grain_Mgha,8.0801
sexy1,24/25,xacc,B1,107,gprotein_pct,11.044417767106843
sexy1,24/25,xacc,B1,107,gmois_pct,16.7
sexy1,24/25,xacc,B1,107,tkw_g,33.32
sexy1,24/25,xacc,B1,107,straw_Mgha,5.267722252948734
sexy1,24/25,xacc,B1,107,smois_pct,10.3672778231928
sexy1,24/25,xapmix,B1,108,grain_Mgha,6.36711
sexy1,24/25,xapmix,B1,108,gprotein_pct,11.974223784417106
sexy1,24/25,xapmix,B1,108,gmois_pct,14.65
sexy1,24/25,xapmix,B1,108,tkw_g,26.731620000000003
sexy1,24/25,xapmix,B1,108,straw_Mgha,6.803764107455093
sexy1,24/25,xapmix,B1,108,smois_pct,4.975361627722153
sexy1,24/25,apmix,B1,109,grain_Mgha,7.00608
sexy1,24/25,apmix,B1,109,gprotein_pct,12.230805243445692
sexy1,24/25,apmix,B1,109,gmois_pct,14.56
sexy1,24/25,apmix,B1,109,tkw_g,25.905408
sexy1,24/25,apmix,B1,109,straw_Mgha,6.8362469605666565
sexy1,24/25,apmix,B1,109,smois_pct,5.576699439687072
sexy1,24/25,acc,B1,110,grain_Mgha,9.064408000000002
sexy1,24/25,acc,B1,110,gprotein_pct,11.647931116957665
sexy1,24/25,acc,B1,110,gmois_pct,16.38
