eu_key,loc_id,sea_key,trt_id,plot_id
01_24/25_p_101,sexy1,24/25,p,101
01_24/25_xaprows_102,sexy1,24/25,xaprows,102
01_24/25_pcc_103,sexy1,24/25,pcc,103
01_24/25_xa_104,sexy1,24/25,xa,104
01_24/25_a_105,sexy1,24/25,a,105
01_24/25_aprows_106,sexy1,24/25,aprows,106
01_24/25_xacc_107,sexy1,24/25,xacc,107
01_24/25_xapmix_108,sexy1,24/25,xapmix,108
01_24/25_apmix_109,sexy1,24/25,apmix,109
01_24/25_acc_110,sexy1,24/25,acc,110
01_24/25_xp_111,sexy1,24/25,xp,111
01_24/25_xpcc_112,sexy1,24/25,xpcc,112
01_24/25_apmix_201,sexy1,24/25,apmix,201
01_24/25_a_202,sexy1,24/25,a,202
01_24/25_xaprows_203,sexy1,24/25,xaprows,203
01_24/25_xacc_204,sexy1,24/25,xacc,204
01_24/25_pcc_205,sexy1,24/25,pcc,205
01_24/25_xapmix_206,sexy1,24/25,xapmix,206
01_24/25_xp_207,sexy1,24/25,xp,207
01_24/25_acc_208,sexy1,24/25,acc,208
01_24/25_p_209,sexy1,24/25,p,209
01_24/25_xpcc_210,sexy1,24/25,xpcc,210
01_24/25_xa_211,sexy1,24/25,xa,211
01_24/25_aprows_212,sexy1,24/25,aprows,212
01_24/25_aprows_301,sexy1,24/25,aprows,301
01_24/25_acc_302,sexy1,24/25,acc,302
01_24/25_xp_303,sexy1,24/25,xp,303
01_24/25_xpcc_304,sexy1,24/25,xpcc,304
01_24/25_pcc_305,sexy1,24/25,pcc,305
01_24/25_xa_306,sexy1,24/25,xa,306
01_24/25_a_307,sexy1,24/25,a,307
01_24/25_xapmix_308,sexy1,24/25,xapmix,308
01_24/25_xacc_309,sexy1,24/25,xacc,309
01_24/25_apmix_310,sexy1,24/25,apmix,310
01_24/25_p_311,sexy1,24/25,p,311
01_24/25_xaprows_312,sexy1,24/25,xaprows,312
01_24/25_xaprows_401,sexy1,24/25,xaprows,401
01_24/25_apmix_402,sexy1,24/25,apmix,402
01_24/25_xacc_403,sexy1,24/25,xacc,403
01_24/25_acc_404,sexy1,24/25,acc,404
01_24/25_p_405,sexy1,24/25,p,405
01_24/25_xpcc_406,sexy1,24/25,xpcc,406
01_24/25_xa_407,sexy1,24/25,xa,407
01_24/25_pcc_408,sexy1,24/25,pcc,408
01_24/25_xp_409,sexy1,24/25,xp,409
01_24/25_aprows_410,sexy1,24/25,aprows,410
01_24/25_xapmix_411,sexy1,24/25,xapmix,411
01_24/25_a_412,sexy1,24/25,a,412
02_25/26_xaprows_101,sexy2,25/26,xaprows,101
02_25/26_p_102,sexy2,25/26,p,102
02_25/26_xpcc_103,sexy2,25/26,xpcc,103
02_25/26_apmix_104,sexy2,25/26,apmix,104
02_25/26_aprows_105,sexy2,25/26,aprows,105
02_25/26_xa_106,sexy2,25/26,xa,106
02_25/26_xp_107,sexy2,25/26,xp,107
02_25/26_xacc_108,sexy2,25/26,xacc,108
02_25/26_xapmix_109,sexy2,25/26,xapmix,109
02_25/26_pcc_110,sexy2,25/26,pcc,110
02_25/26_acc_111,sexy2,25/26,acc,111
02_25/26_a_112,sexy2,25/26,a,112
02_25/26_apmix_201,sexy2,25/26,apmix,201
02_25/26_aprows_202,sexy2,25/26,aprows,202
02_25/26_xapmix_203,sexy2,25/26,xapmix,203
02_25/26_xpcc_204,sexy2,25/26,xpcc,204
02_25/26_pcc_205,sexy2,25/26,pcc,205
02_25/26_xa_206,sexy2,25/26,xa,206
02_25/26_xacc_207,sexy2,25/26,xacc,207
02_25/26_xaprows_208,sexy2,25/26,xaprows,208
02_25/26_xp_209,sexy2,25/26,xp,209
02_25/26_a_210,sexy2,25/26,a,210
02_25/26_p_211,sexy2,25/26,p,211
02_25/26_acc_212,sexy2,25/26,acc,212
02_25/26_xacc_301,sexy2,25/26,xacc,301
02_25/26_xpcc_302,sexy2,25/26,xpcc,302
02_25/26_p_303,sexy2,25/26,p,303
02_25/26_acc_304,sexy2,25/26,acc,304
02_25/26_xaprows_305,sexy2,25/26,xaprows,305
02_25/26_xapmix_306,sexy2,25/26,xapmix,306
02_25/26_apmix_307,sexy2,25/26,apmix,307
02_25/26_a_308,sexy2,25/26,a,308
02_25/26_pcc_309,sexy2,25/26,pcc,309
02_25/26_aprows_310,sexy2,25/26,aprows,310
02_25/26_xp_311,sexy2,25/26,xp,311
02_25/26_xa_312,sexy2,25/26,xa,312
02_25/26_xpcc_401,sexy2,25/26,xpcc,401
02_25/26_a_402,sexy2,25/26,a,402
02_25/26_xa_403,sexy2,25/26,xa,403
02_25/26_pcc_404,sexy2,25/26,pcc,404
02_25/26_xaprows_405,sexy2,25/26,xaprows,405
02_25/26_acc_406,sexy2,25/26,acc,406
02_25/26_aprows_407,sexy2,25/26,aprows,407
02_25/26_xp_408,sexy2,25/26,xp,408
02_25/26_p_409,sexy2,25/26,p,409
02_25/26_apmix_410,sexy2,25/26,apmix,410
02_25/26_xacc_411,sexy2,25/26,xacc,411
02_25/26_xapmix_412,sexy2,25/26,xapmix,412
