loc_key,loc_id,loc_desc,loc_fieldnum,loc_lat,loc_lon,loc_country
00,eusun1,foulum,unknown,56.496272,9.60122,Denmark
01,sexy1,flakkebjerg,22,55.324979,11.394706,Denmark
02,sexy2,flakkebjerg,06,55.325846,11.386327,Denmark
03,seed1,flakkebjerg,19,55.331113,11.385372,Denmark
04,clim1,flakkebjerg,37,55.316281,11.388394,Denmark
