field_place,field_lat,field_lon,field_country,sea_name,field_id,block,plot,trt_name,sample_id,sample_type,value,unit
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,110,acc,0101-110-B1,sep-ergot,0.06,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,110,acc,0101-110-B2,sep-grain,84.75,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,111,xp,0101-111-A,raw,77.85,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,111,xp,0101-111-B1,sep-ergot,0.15,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,111,xp,0101-111-B2,sep-grain,75.23,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,112,xpcc,0101-112-A,raw,74.36,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,112,xpcc,0101-112-B1,sep-ergot,0.12,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,112,xpcc,0101-112-B2,sep-grain,86.34,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,201,apmix,0101-201-A,raw,84.16,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,201,apmix,0101-201-B1,sep-ergot,0.27,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,201,apmix,0101-201-B2,sep-grain,73.14,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,202,a,0101-202-A,raw,88.11,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,202,a,0101-202-B1,sep-ergot,0.13,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,202,a,0101-202-B2,sep-grain,78.55,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,203,xaprows,0101-203-A,raw,81.92,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,203,xaprows,0101-203-B1,sep-ergot,0.25,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,203,xaprows,0101-203-B2,sep-grain,71.49,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,204,xacc,0101-204-A,raw,90.21,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,204,xacc,0101-204-B1,sep-ergot,0,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,204,xacc,0101-204-B2,sep-grain,82.46,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,205,pcc,0101-205-A,raw,71.29,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,205,pcc,0101-205-B1,sep-ergot,0.24,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,205,pcc,0101-205-B2,sep-grain,73.71,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,206,xapmix,0101-206-A,raw,86.71,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,206,xapmix,0101-206-B1,sep-ergot,0.15,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,206,xapmix,0101-206-B2,sep-grain,73.68,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,207,xp,0101-207-A,raw,71.12,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,207,xp,0101-207-B1,sep-ergot,0.27,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,207,xp,0101-207-B2,sep-grain,84.82,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,208,acc,0101-208-A,raw,62.19,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,208,acc,0101-208-B1,sep-ergot,0.15,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,208,acc,0101-208-B2,sep-grain,84.32,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,209,p,0101-209-A,raw,63.86,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,209,p,0101-209-B1,sep-ergot,0.19,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,209,p,0101-209-B2,sep-grain,80.65,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,210,xpcc,0101-210-A,raw,64.97,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,210,xpcc,0101-210-B1,sep-ergot,0.19,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,210,xpcc,0101-210-B2,sep-grain,81.01,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,211,xa,0101-211-A,raw,72.89,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,211,xa,0101-211-B1,sep-ergot,0,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,211,xa,0101-211-B2,sep-grain,84.61,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,212,aprows,0101-212-A,raw,74.31,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,212,aprows,0101-212-B1,sep-ergot,0.21,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B2,212,aprows,0101-212-B2,sep-grain,82.82,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,301,aprows,0101-301-A,raw,72.25,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,301,aprows,0101-301-B1,sep-ergot,0.13,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,301,aprows,0101-301-B2,sep-grain,83.62,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,302,acc,0101-302-A,raw,65.77,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,302,acc,0101-302-B1,sep-ergot,0.1,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,302,acc,0101-302-B2,sep-grain,82.57,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,303,xp,0101-303-A,raw,73.76,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,303,xp,0101-303-B1,sep-ergot,0.23,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,303,xp,0101-303-B2,sep-grain,82.39,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,304,xpcc,0101-304-A,raw,66.08,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,304,xpcc,0101-304-B1,sep-ergot,0.16,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,304,xpcc,0101-304-B2,sep-grain,74.33,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,305,pcc,0101-305-A,raw,73.7,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,305,pcc,0101-305-B1,sep-ergot,0.16,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,305,pcc,0101-305-B2,sep-grain,78.42,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,306,xa,0101-306-A,raw,76.02,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,306,xa,0101-306-B1,sep-ergot,0.12,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,306,xa,0101-306-B2,sep-grain,71.97,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,307,a,0101-307-A,raw,73.82,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,307,a,0101-307-B1,sep-ergot,0.15,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,307,a,0101-307-B2,sep-grain,78.68,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,308,xapmix,0101-308-A,raw,68.81,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,308,xapmix,0101-308-B1,sep-ergot,0.17,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,308,xapmix,0101-308-B2,sep-grain,76.42,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,309,xacc,0101-309-A,raw,74.42,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,309,xacc,0101-309-B1,sep-ergot,0.21,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,309,xacc,0101-309-B2,sep-grain,80.36,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,310,apmix,0101-310-A,raw,78.1,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,310,apmix,0101-310-B1,sep-ergot,0.23,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,310,apmix,0101-310-B2,sep-grain,74.55,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,311,p,0101-311-A,raw,67.65,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,311,p,0101-311-B1,sep-ergot,0.25,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,311,p,0101-311-B2,sep-grain,80.41,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,312,xaprows,0101-312-A,raw,75.99,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,312,xaprows,0101-312-B1,sep-ergot,0.29,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B3,312,xaprows,0101-312-B2,sep-grain,74.16,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,401,xaprows,0101-401-A,raw,62.47,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,401,xaprows,0101-401-B1,sep-ergot,0.07,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,401,xaprows,0101-401-B2,sep-grain,71.47,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,402,apmix,0101-402-A,raw,76.7,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,402,apmix,0101-402-B1,sep-ergot,0.14,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,402,apmix,0101-402-B2,sep-grain,68.28,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,403,xacc,0101-403-A,raw,72.88,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,403,xacc,0101-403-B1,sep-ergot,0.09,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,403,xacc,0101-403-B2,sep-grain,80.4,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,404,acc,0101-404-A,raw,71.13,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,404,acc,0101-404-B1,sep-ergot,0.11,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,404,acc,0101-404-B2,sep-grain,84.16,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,405,p,0101-405-A,raw,75.72,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,405,p,0101-405-B1,sep-ergot,0.2,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,405,p,0101-405-B2,sep-grain,78.27,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,406,xpcc,0101-406-A,raw,70.91,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,406,xpcc,0101-406-B1,sep-ergot,0.21,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,406,xpcc,0101-406-B2,sep-grain,73.73,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,407,xa,0101-407-A,raw,67.93,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,407,xa,0101-407-B1,sep-ergot,0.13,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,407,xa,0101-407-B2,sep-grain,66.06,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,408,pcc,0101-408-A,raw,69.3,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,408,pcc,0101-408-B1,sep-ergot,0.2,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,408,pcc,0101-408-B2,sep-grain,84.73,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,409,xp,0101-409-A,raw,70.42,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,409,xp,0101-409-B1,sep-ergot,0.11,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,409,xp,0101-409-B2,sep-grain,69.57,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,410,aprows,0101-410-A,raw,63.39,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,410,aprows,0101-410-B1,sep-ergot,0.35,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,410,aprows,0101-410-B2,sep-grain,67.05,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,411,xapmix,0101-411-A,raw,70.91,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,411,xapmix,0101-411-B1,sep-ergot,0.16,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,411,xapmix,0101-411-B2,sep-grain,70.5,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,412,a,0101-412-A,raw,73.19,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,412,a,0101-412-B1,sep-ergot,0.11,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B4,412,a,0101-412-B2,sep-grain,80.23,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B3,13E,p_normdens,0001-13E-A,raw,52.12,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B3,13E,p_normdens,0001-13E-B1,sep-ergot,0.19,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B3,13E,p_normdens,0001-13E-B2,sep-grain,103.4,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B3,13W,p_lowdens,0001-13W-A,raw,98.95,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B3,13W,p_lowdens,0001-13W-B1,sep-ergot,0.38,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B3,13W,p_lowdens,0001-13W-B2,sep-grain,104.3,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B1,26E,p_normdens,0001-26E-A,raw,113.88,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B1,26E,p_normdens,0001-26E-B1,sep-ergot,0.17,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B1,26E,p_normdens,0001-26E-B2,sep-grain,112.62,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B1,26W,p_lowdens,0001-26W-A,raw,131.35,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B1,26W,p_lowdens,0001-26W-B1,sep-ergot,0.19,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B1,26W,p_lowdens,0001-26W-B2,sep-grain,126.69,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B2,3E,p_normdens_bioharv,0001-3E-A,raw,134.82,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B2,3E,p_normdens_bioharv,0001-3E-B1,sep-ergot,0.24,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B2,3E,p_normdens_bioharv,0001-3E-B2,sep-grain,148.26,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B2,3W,p_lowdens_bioharv,0001-3W-A,raw,123.47,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B2,3W,p_lowdens_bioharv,0001-3W-B1,sep-ergot,0.24,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B2,3W,p_lowdens_bioharv,0001-3W-B2,sep-grain,125.9,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B2,4E,p_normdens,0001-4E-A,raw,115.67,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B2,4E,p_normdens,0001-4E-B1,sep-ergot,0.6,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B2,4E,p_normdens,0001-4E-B2,sep-grain,124.81,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B2,4W,p_lowdens,0001-4W-A,raw,117.13,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B2,4W,p_lowdens,0001-4W-B1,sep-ergot,0.33,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B2,4W,p_lowdens,0001-4W-B2,sep-grain,117.71,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B4,55E,p_normdens_bioharv,0001-55E-A,raw,125.45,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B4,55E,p_normdens_bioharv,0001-55E-B1,sep-ergot,0.55,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B4,55E,p_normdens_bioharv,0001-55E-B2,sep-grain,130.83,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B4,55W,p_lowdens_bioharv,0001-55W-A,raw,107.64,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B4,55W,p_lowdens_bioharv,0001-55W-B1,sep-ergot,0.43,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B4,55W,p_lowdens_bioharv,0001-55W-B2,sep-grain,109.39,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B1,66E,p_normdens_bioharv,0001-66E-A,raw,104.61,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B1,66E,p_normdens_bioharv,0001-66E-B1,sep-ergot,0.51,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B1,66E,p_normdens_bioharv,0001-66E-B2,sep-grain,100.59,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B1,66W,p_lowdens_bioharv,0001-66W-A,raw,88.34,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B1,66W,p_lowdens_bioharv,0001-66W-B1,sep-ergot,0.7,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B1,66W,p_lowdens_bioharv,0001-66W-B2,sep-grain,87.33,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B3,69E,p_normdens_bioharv,0001-69E-A,raw,95.16,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B3,69E,p_normdens_bioharv,0001-69E-B1,sep-ergot,0.37,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B3,69E,p_normdens_bioharv,0001-69E-B2,sep-grain,88.89,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B3,69W,p_lowdens_bioharv,0001-69W-A,raw,101.69,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B3,69W,p_lowdens_bioharv,0001-69W-B1,sep-ergot,0.58,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B3,69W,p_lowdens_bioharv,0001-69W-B2,sep-grain,91.48,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B4,8E,p_normdens,0001-8E-A,raw,89.44,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B4,8E,p_normdens,0001-8E-B1,sep-ergot,0.09,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B4,8E,p_normdens,0001-8E-B2,sep-grain,99.39,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B4,8W,p_lowdens,0001-8W-A,raw,122.8,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B4,8W,p_lowdens,0001-8W-B1,sep-ergot,0.88,weight in grams
foulum,56.496272,9.60122,Denmark,24/25,eusun1,B4,8W,p_lowdens,0001-8W-B2,sep-grain,123.13,weight in grams
