field_place,field_lat,field_lon,field_country,sea_name,field_id,block,plot,trt_name,sample_id,sample_type,value,unit
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,101,p,0101-101-A,raw,69.24,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,101,p,0101-101-B1,sep-ergot,0.26,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,101,p,0101-101-B2,sep-grain,98.21,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,102,xaprows,0101-102-A,raw,64.09,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,102,xaprows,0101-102-B1,sep-ergot,0.16,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,102,xaprows,0101-102-B2,sep-grain,80.34,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,103,pcc,0101-103-A,raw,64.64,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,103,pcc,0101-103-B1,sep-ergot,0.13,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,103,pcc,0101-103-B2,sep-grain,80.62,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,104,xa,0101-104-A,raw,74.51,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,104,xa,0101-104-B1,sep-ergot,0.2,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,104,xa,0101-104-B2,sep-grain,74.02,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,105,a,0101-105-A,raw,74.11,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,105,a,0101-105-B1,sep-ergot,0.14,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,105,a,0101-105-B2,sep-grain,77.37,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,106,aprows,0101-106-A,raw,81.34,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,106,aprows,0101-106-B1,sep-ergot,0.2,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,106,aprows,0101-106-B2,sep-grain,76.23,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,107,xacc,0101-107-A,raw,78.15,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,107,xacc,0101-107-B1,sep-ergot,0.15,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,107,xacc,0101-107-B2,sep-grain,80.25,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,108,xapmix,0101-108-A,raw,69.21,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,108,xapmix,0101-108-B1,sep-ergot,0.12,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,108,xapmix,0101-108-B2,sep-grain,75.19,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,109,apmix,0101-109-A,raw,77.51,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,109,apmix,0101-109-B1,sep-ergot,0.17,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,109,apmix,0101-109-B2,sep-grain,80.28,weight in grams
flakkebjerg,55.324979,11.394706,Denmark,24/25,sexy1,B1,110,acc,0101-110-A,raw,78.59,weight in grams
