sea_id,sea_name,sea_description
eusun1_24/25,24/25,"Perennial cereal rye planted in fall of 2024, first grain harvest August 2025"
eusun1_25/26,25/26,"Regrowth of perennial cereal rye starting in fall 2025, second grain harvest August 2026"
