station;date;minte;maxte;temp;prec;tsum0
613500;01/01/2024;4,8;6;5,4;6,1;5,4
613500;02/01/2024;3,5;6,1;4,6;5,6;10
613500;03/01/2024;0;3,6;2;21,1;12
613500;04/01/2024;-8,6;0,2;-3,6;4;12
613500;05/01/2024;-9;-3,5;-6,6;0;12
613500;06/01/2024;-7,2;-3,3;-5;0;12
613500;07/01/2024;-9,5;-4,6;-6,9;0;12
613500;08/01/2024;-10,3;-3,1;-6,2;0;12
613500;09/01/2024;-9,3;-0,5;-3,5;0;12
613500;10/01/2024;-0,8;0,7;0,2;0;12,2
613500;11/01/2024;-3,6;1,7;0,3;0;12,5
613500;12/01/2024;-6,3;0,5;-2;0;12,5
613500;13/01/2024;0,4;4,7;2,6;0,9;15,1
613500;14/01/2024;0,6;3,7;2,2;0,5;17,3
613500;15/01/2024;-6;1,3;-1,5;0,7;17,3
613500;16/01/2024;-6,5;0,8;-2,8;0,2;17,3
613500;17/01/2024;-4,5;0,7;-0,8;1,2;17,3
613500;18/01/2024;-7,9;0,5;-2;0;17,3
613500;19/01/2024;-1,5;3,4;0,8;2,7;18,1
613500;20/01/2024;1,1;4,5;3,4;1,5;21,5
613500;21/01/2024;0,6;3,5;2;0,1;23,5
613500;22/01/2024;3;8,5;5,9;4,1;29,4
613500;23/01/2024;3,7;7,6;5,4;3,2;34,8
613500;24/01/2024;3,7;9;7,1;7;41,9
613500;25/01/2024;1,6;6,9;5;0;46,9
613500;26/01/2024;2,6;7,9;4,6;11,7;51,5
613500;27/01/2024;3,4;6;5,1;0;56,6
613500;28/01/2024;1;5,5;3,4;0;60
613500;29/01/2024;1,5;6,6;3,4;0;63,4
613500;30/01/2024;3,8;7,2;5,3;0,1;68,7
613500;31/01/2024;2,5;6,2;4,5;0,6;73,2
613500;01/02/2024;3,7;6,6;4,8;0,4;78
613500;02/02/2024;3,3;7,5;5,5;3,5;83,5
613500;03/02/2024;4,5;9;7;0;90,5
613500;04/02/2024;4,3;7,4;6,2;0;96,7
613500;05/02/2024;4,9;6,9;5,9;19,3;102,6
613500;06/02/2024;3,9;7,9;6,5;21,1;109,1
613500;07/02/2024;-0,8;4,8;2;4,7;111,1
613500;08/02/2024;-1,6;4,1;1;0,9;112,1
613500;09/02/2024;-0,5;1,2;0,3;8;112,4
613500;10/02/2024;0,5;2,4;1,7;0;114,1
613500;11/02/2024;1,3;3;2,1;3;116,2
613500;12/02/2024;1,6;4,8;2,5;14,1;118,7
613500;13/02/2024;2,7;6,6;4,5;0,1;123,2
613500;14/02/2024;3,6;5,3;4,6;1,3;127,8
613500;15/02/2024;4,8;9,9;7,6;1;135,4
613500;16/02/2024;5,8;10,6;8,9;1;144,3
613500;17/02/2024;-1,4;6,4;4,2;0;148,5
613500;18/02/2024;-1,3;6,4;4;25,9;152,5
613500;19/02/2024;3,3;8,6;5,9;3,1;158,4
613500;20/02/2024;5,6;9;6,8;1,2;165,2
613500;21/02/2024;5,5;8,9;6,9;1,3;172,1
613500;22/02/2024;5,6;8,5;6,9;6,3;179
613500;23/02/2024;3,4;9,7;6,2;3,3;185,2
613500;24/02/2024;3,3;7,9;5,1;2;190,3
613500;25/02/2024;2,3;5,8;4,1;2,2;194,4
613500;26/02/2024;1,1;8;3,9;0;198,3
613500;27/02/2024;0,8;4,5;2,8;0;201,1
613500;28/02/2024;2,2;5;3,5;0,1;204,6
613500;29/02/2024;3,5;8,1;5,7;0;210,3
613500;01/03/2024;3,2;8,5;5,7;0;216
