station;date;minte;maxte;temp;prec;tsum0
613500;02/03/2024;4,5;10,5;7,1;0,1;223,1
613500;03/03/2024;4,3;8,8;6,6;0,5;229,7
613500;04/03/2024;2,3;8,5;5,2;0;234,9
613500;05/03/2024;0,6;5,2;2,6;0,2;237,5
613500;06/03/2024;0,3;6,2;3,3;0;240,8
613500;07/03/2024;-1,1;3,6;1,1;0;241,9
613500;08/03/2024;-2,5;6,9;0,8;0;242,7
613500;09/03/2024;-0,1;4,8;1,8;0;244,5
613500;10/03/2024;0,9;5,4;2,8;0,5;247,3
613500;11/03/2024;2,6;6,3;3,8;0;251,1
613500;12/03/2024;2,7;5,6;3,8;0;254,9
613500;13/03/2024;3,3;10,3;6,7;0;261,6
613500;14/03/2024;7;10,8;8,7;0,1;270,3
613500;15/03/2024;6,9;11,6;9,3;1,6;279,6
613500;16/03/2024;2,9;9,6;7,2;0,2;286,8
613500;17/03/2024;-1,2;6,5;2,7;0;289,5
613500;18/03/2024;-1,5;5,9;1,4;0;290,9
613500;19/03/2024;-0,7;6,5;3,6;0;294,5
613500;20/03/2024;5,1;10;6,9;0,5;301,4
613500;21/03/2024;5,4;9,6;7,1;8,5;308,5
613500;22/03/2024;4,3;10,3;7,3;1,1;315,8
613500;23/03/2024;3,6;8,9;5,6;0,8;321,4
613500;24/03/2024;3,5;7,5;5,3;2,6;326,7
613500;25/03/2024;2,2;7,8;5,3;1,3;332
613500;26/03/2024;0,5;10,1;5,5;0;337,5
613500;27/03/2024;5,1;13,1;8,5;0;346
613500;28/03/2024;5,1;12,1;7,5;7,7;353,5
613500;29/03/2024;4,1;9,3;6,9;0,8;360,4
613500;30/03/2024;4;12,9;8,4;0,2;368,8
613500;31/03/2024;4,3;10,3;7,4;0;376,2
613500;01/04/2024;3,8;8,9;6,8;12,3;383
613500;02/04/2024;2,4;7,5;5,2;19,9;388,2
613500;03/04/2024;1,1;5,4;2,7;0,2;390,9
613500;04/04/2024;3;11;6,8;12,5;397,7
613500;05/04/2024;6;12,1;8,9;8,9;406,6
613500;06/04/2024;8,2;16,9;12,4;0;419
613500;07/04/2024;11,2;16,2;13,5;1,2;432,5
613500;08/04/2024;10,6;16,7;13,2;0,3;445,7
613500;09/04/2024;9,7;18,3;11,8;1;457,5
613500;10/04/2024;5,8;12;9,2;0;466,7
613500;11/04/2024;5,6;12,4;9,7;1,4;476,4
613500;12/04/2024;8,7;12,8;10,8;0,1;487,2
613500;13/04/2024;7,7;15;11,3;0;498,5
613500;14/04/2024;5,7;12,8;9,3;0;507,8
613500;15/04/2024;4;10,9;7,3;1,8;515,1
613500;16/04/2024;3,1;11,3;7,2;11,3;522,3
613500;17/04/2024;1,9;10,4;5,9;0,3;528,2
613500;18/04/2024;-0,7;10,3;5,7;0;533,9
613500;19/04/2024;4,2;6,2;5,1;4,3;539
613500;20/04/2024;0,3;8,2;4,6;0;543,6
613500;21/04/2024;0,1;8,9;4,5;0;548,1
613500;22/04/2024;-0,8;5,2;2,4;0;550,5
613500;23/04/2024;-2,4;8,2;3,1;8,1;553,6
613500;24/04/2024;3,5;8,3;5,3;3,3;558,9
613500;25/04/2024;3,2;8,5;5;12,6;563,9
613500;26/04/2024;2,6;8,1;5,4;12,3;569,3
613500;27/04/2024;0,4;15,1;7,7;0;577
613500;28/04/2024;7,5;19,6;14,1;0;591,1
613500;29/04/2024;6,9;16,5;12,3;0;603,4
613500;30/04/2024;9,3;19,3;14;0;617,4
613500;01/05/2024;10,5;22,3;15,6;0;633
613500;02/05/2024;11,7;21;15,9;0;648,9
613500;03/05/2024;10,5;20;15,4;0;664,3
613500;04/05/2024;8,6;16,1;12,3;0,8;676,6
613500;05/05/2024;7,9;16,2;11,4;3,8;688
613500;06/05/2024;9;14,2;11,3;1,8;699,3
613500;07/05/2024;7,3;15,6;11,3;0,2;710,6
613500;08/05/2024;4,7;17,2;11,3;0;721,9
613500;09/05/2024;5,6;16,5;11,7;0;733,6
613500;10/05/2024;9,7;16,8;12,5;0,2;746,1
613500;11/05/2024;7;19,4;13,2;0;759,3
613500;12/05/2024;6;17,8;12;0;771,3
613500;13/05/2024;5,6;19,6;13,1;0;784,4
613500;14/05/2024;7,8;21;14,9;0;799,3
613500;15/05/2024;9,5;22,8;16,3;0;815,6
613500;16/05/2024;10,6;20,3;15,8;0;831,4
613500;17/05/2024;11,4;21,2;15,8;0;847,2
613500;18/05/2024;9,4;22,9;16,5;0;863,7
613500;19/05/2024;10,1;23,1;16,9;0;880,6
613500;20/05/2024;9,5;22,8;16,8;0;897,4
613500;21/05/2024;11,2;21,7;16,3;0;913,7
613500;22/05/2024;13;24,9;18,5;0;932,2
613500;23/05/2024;12,1;16;14,5;17,9;946,7
613500;24/05/2024;9,8;19,1;15;0;961,7
613500;25/05/2024;11,4;20,4;15,4;0;977,1
613500;26/05/2024;11,8;22;16,7;0,7;993,8
613500;27/05/2024;12,5;20,1;16,7;0,3;1010,5
613500;28/05/2024;10,8;17,7;14;6,3;1024,5
613500;29/05/2024;10,5;16,4;14;5,4;1038,5
613500;30/05/2024;12,3;19,2;15,5;3,4;1054
613500;31/05/2024;14,1;21,9;17,1;8,4;1071,1
613500;01/06/2024;12,5;24,5;19,3;0;1090,4
613500;02/06/2024;14,5;22,4;18;0;1108,4
613500;03/06/2024;11,5;17,2;14,3;0;1122,7
613500;04/06/2024;8,7;17,9;14;1,3;1136,7
613500;05/06/2024;8,2;17,3;14,1;1,3;1150,8
613500;06/06/2024;7,1;14;10,5;2,1;1161,3
613500;07/06/2024;5,9;15,8;11,5;1,8;1172,8
613500;08/06/2024;7,2;17,5;11,9;9,5;1184,7
613500;09/06/2024;7,8;13,8;10,8;2,2;1195,5
613500;10/06/2024;9,4;16,7;12,8;0;1208,3
613500;11/06/2024;10;14,8;12,3;1,6;1220,6
613500;12/06/2024;8,6;15,6;12;1,3;1232,6
613500;13/06/2024;8,3;15,2;11,4;0;1244
613500;14/06/2024;9;20;15,3;0;1259,3
613500;15/06/2024;10,7;17,3;14,1;15,2;1273,4
613500;16/06/2024;12,6;20;15,7;3,1;1289,1
613500;17/06/2024;11,5;19,3;15,7;0,1;1304,8
613500;18/06/2024;10,3;19,6;15,4;0;1320,2
613500;19/06/2024;10,1;18,4;14,1;0;1334,3
613500;20/06/2024;9;18,5;13,9;0;1348,2
613500;21/06/2024;9,3;21,5;15,7;5,2;1363,9
613500;22/06/2024;13,9;16,4;14,8;0,9;1378,7
613500;23/06/2024;11,6;20,1;15,5;0;1394,2
613500;24/06/2024;10,4;21,5;16,1;0;1410,3
613500;25/06/2024;9,4;23,6;17,6;0;1427,9
613500;26/06/2024;12,2;26,1;19,9;0;1447,8
613500;27/06/2024;14,5;28,9;21,9;0;1469,7
613500;28/06/2024;14,8;23,6;19,5;2,8;1489,2
613500;29/06/2024;12,4;21,9;17,5;0;1506,7
613500;30/06/2024;12,8;17,1;15,4;11,8;1522,1
613500;01/07/2024;11,5;18,7;15,2;2,8;1537,3
613500;02/07/2024;11,7;17,4;14,1;0,1;1551,4
613500;03/07/2024;10,4;18,7;14,6;1,3;1566
613500;04/07/2024;10,7;18,1;13,5;11,7;1579,5
613500;05/07/2024;9,9;18;13,9;10,5;1593,4
613500;06/07/2024;10,5;24,5;16,7;16,9;1610,1
613500;07/07/2024;12,7;18,9;15,4;0,2;1625,5
613500;08/07/2024;10,7;20,3;16,1;0,2;1641,6
613500;09/07/2024;8;22;15,7;0;1657,3
613500;10/07/2024;15,1;23,2;19,8;2,4;1677,1
613500;11/07/2024;14;22,8;18,6;2,2;1695,7
613500;12/07/2024;12;23,3;18,2;0;1713,9
613500;13/07/2024;13,8;19,2;16,4;1,4;1730,3
613500;14/07/2024;14;21,1;16,9;2,9;1747,2
613500;15/07/2024;12,6;21,5;17,4;0;1764,6
613500;16/07/2024;11,6;20,7;16,4;3,2;1781
613500;17/07/2024;14,1;22,1;17,7;4;1798,7
613500;18/07/2024;11,9;21,1;16,7;0;1815,4
613500;19/07/2024;8,3;24,3;17,6;0;1833
613500;20/07/2024;10,9;25,8;19,4;0;1852,4
613500;21/07/2024;12,8;27,6;20,5;0;1872,9
613500;22/07/2024;13;19,9;17,7;15,3;1890,6
613500;23/07/2024;10,4;22,3;16,6;7,5;1907,2
613500;24/07/2024;12,8;21,6;17,1;0;1924,3
613500;25/07/2024;14;21,1;17,1;0;1941,4
613500;26/07/2024;16;20,4;17,5;6,9;1958,9
613500;27/07/2024;12,2;23;17,7;0;1976,6
613500;28/07/2024;13,4;22,3;17,7;0;1994,3
613500;29/07/2024;12,2;22,2;17,7;0;2012
613500;30/07/2024;9,6;24,2;17,7;0;2029,7
613500;31/07/2024;10,5;21,7;16,9;0;2046,6
613500;01/08/2024;9,1;21,3;15,8;0;2062,4
613500;02/08/2024;10,3;22;16,8;0;2079,2
613500;03/08/2024;14,5;23,4;18,9;0,5;2098,1
613500;04/08/2024;14,3;21,7;18,1;5,2;2116,2
613500;05/08/2024;11,7;22,7;17,3;0;2133,5
613500;06/08/2024;10,7;24,6;18,6;0;2152,1
613500;07/08/2024;15,9;26,5;20,8;3,8;2172,9
613500;08/08/2024;13,9;22,9;18,4;0,1;2191,3
613500;09/08/2024;12,5;21,9;17,7;5,2;2209
613500;10/08/2024;15,6;22,9;18,8;0;2227,8
613500;11/08/2024;13,2;21,9;17,9;0;2245,7
613500;12/08/2024;10,8;22,1;16,4;0;2262,1
613500;13/08/2024;11,2;24,9;18,5;0;2280,6
613500;14/08/2024;16,2;28,1;21,7;0;2302,3
613500;15/08/2024;15,3;24,8;20;0;2322,3
613500;16/08/2024;13,7;21;18,8;1,3;2341,1
613500;17/08/2024;9,7;20,1;15,8;0;2356,9
613500;18/08/2024;7,2;20,4;14,9;0;2371,8
613500;19/08/2024;9,9;21,1;15,8;0;2387,6
613500;20/08/2024;10,8;23,9;18,1;0;2405,7
613500;21/08/2024;14,3;20,2;16,9;3,6;2422,6
613500;22/08/2024;13,2;19,1;16,4;0,8;2439
613500;23/08/2024;14,9;21,2;18,4;1;2457,4
613500;24/08/2024;10,8;26,2;19,3;0;2476,7
613500;25/08/2024;12,2;21,8;17,2;5,9;2493,9
613500;26/08/2024;12,8;20,7;16,9;0;2510,8
613500;27/08/2024;12,7;22,9;18;0;2528,8
613500;28/08/2024;13,9;26,7;20,1;0;2548,9
613500;29/08/2024;18;29,2;22,9;1,8;2571,8
613500;30/08/2024;13,3;20,9;17,4;0;2589,2
613500;31/08/2024;10,3;19,8;15,1;0;2604,3
613500;01/09/2024;7,8;21,3;14,7;0;2619
613500;02/09/2024;9,7;22,8;16,4;0;2635,4
613500;03/09/2024;14,5;27;20,5;2,2;2655,9
613500;04/09/2024;16,9;25,9;20,9;2,3;2676,8
613500;05/09/2024;17,8;27,9;22,1;0;2698,9
613500;06/09/2024;17,9;27,1;21,6;0;2720,5
613500;07/09/2024;17,1;27,2;21,1;0;2741,6
613500;08/09/2024;17,4;29,1;22,4;0;2764
613500;09/09/2024;16,2;19,7;17,6;22,8;2781,6
613500;10/09/2024;12,7;17,2;15,1;1,2;2796,7
613500;11/09/2024;9,8;15,1;12,4;8,2;2809,1
613500;12/09/2024;7;14,8;11,1;2,3;2820,2
613500;13/09/2024;5,9;15,4;11,4;0;2831,6
613500;14/09/2024;9,8;16,6;12,7;0;2844,3
613500;15/09/2024;6,4;17,4;11,9;0;2856,2
613500;16/09/2024;4,6;19,9;11,9;0;2868,1
613500;17/09/2024;9,4;20,9;14,9;0;2883
613500;18/09/2024;10,2;21,4;14,6;0;2897,6
613500;19/09/2024;9,6;20,1;14,9;0;2912,5
613500;20/09/2024;12,8;22,2;16,9;0;2929,4
613500;21/09/2024;12,1;22,6;16;0;2945,4
613500;22/09/2024;11,2;22,9;16,3;0;2961,7
613500;23/09/2024;12;23;16,6;0;2978,3
613500;24/09/2024;14,1;17,8;15,7;2,9;2994
613500;25/09/2024;11,4;15,5;14,1;5,3;3008,1
613500;26/09/2024;9;16,8;13,5;16,5;3021,6
613500;27/09/2024;11,2;15,4;14,1;5,9;3035,7
613500;28/09/2024;8,7;12,6;10,6;0,1;3046,3
613500;29/09/2024;6,1;14,1;10;0;3056,3
613500;30/09/2024;5,5;14,5;10,4;0;3066,7
613500;01/10/2024;9,4;13,4;11,5;0;3078,2
613500;02/10/2024;6,2;14;9,5;0;3087,7
613500;03/10/2024;5,1;14,3;9,6;0;3097,3
613500;04/10/2024;2,5;15,6;8,6;0;3105,9
613500;05/10/2024;1,7;16;7,7;0;3113,6
613500;06/10/2024;1,7;14,7;8,3;0,1;3121,9
613500;07/10/2024;9,1;12,1;10,8;1,1;3132,7
613500;08/10/2024;8,3;14,9;12,4;5,1;3145,1
613500;09/10/2024;11,6;14,5;13;9,1;3158,1
613500;10/10/2024;8,7;13,8;11,8;14,5;3169,9
613500;11/10/2024;7;12,4;9,5;0,2;3179,4
613500;12/10/2024;6,5;12,2;9,9;0;3189,3
613500;13/10/2024;8,4;12,1;10;4,5;3199,3
613500;14/10/2024;5,5;11,4;9,8;2,6;3209,1
613500;15/10/2024;3,6;13,1;7,8;0;3216,9
613500;16/10/2024;4,2;12,3;8,6;0;3225,5
613500;17/10/2024;8,7;12,9;10,8;0,2;3236,3
613500;18/10/2024;10,3;15,7;12,7;0;3249
613500;19/10/2024;8,3;14,2;11,9;0;3260,9
613500;20/10/2024;11,6;15,9;13,9;0,2;3274,8
613500;21/10/2024;11,7;15,1;13,9;0;3288,7
613500;22/10/2024;8,7;14,5;11,8;10,2;3300,5
613500;23/10/2024;8,1;14,5;11;0;3311,5
613500;24/10/2024;5,8;10,1;8,5;0;3320
613500;25/10/2024;8,1;13,7;10,6;0;3330,6
613500;26/10/2024;7;14,8;11,1;0;3341,7
613500;27/10/2024;7,1;12,8;10,8;1,8;3352,5
613500;28/10/2024;5,7;12,4;10,4;4,3;3362,9
613500;29/10/2024;11,5;13,9;12,6;1,2;3375,5
613500;30/10/2024;8,2;12,7;11;0;3386,5
613500;31/10/2024;7,8;12,9;11,3;0;3397,8
613500;01/11/2024;12,2;13,2;12,6;0;3410,4
613500;02/11/2024;1,5;9,6;5,4;0;3415,8
613500;03/11/2024;2,8;12;9,3;0;3425,1
613500;04/11/2024;8,8;11,2;10;0;3435,1
613500;05/11/2024;7,6;9,8;9;0;3444,1
613500;06/11/2024;6,8;8,4;7,6;0;3451,7
613500;07/11/2024;6,6;10,1;8,6;0;3460,3
613500;08/11/2024;6,2;10,2;8,3;0,1;3468,6
613500;09/11/2024;4,9;6,6;5,6;0;3474,2
613500;10/11/2024;4,1;8,1;5,7;0;3479,9
613500;11/11/2024;7;9;8,2;0,1;3488,1
613500;12/11/2024;4,9;9;7;0,2;3495,1
613500;13/11/2024;4,2;9,7;7,3;0,3;3502,4
613500;14/11/2024;2,7;10,4;7,4;0;3509,8
613500;15/11/2024;3,1;11,5;8,8;0;3518,6
613500;16/11/2024;6,9;10,2;9,2;1,4;3527,8
613500;17/11/2024;3,9;8,2;6,3;0;3534,1
613500;18/11/2024;2,8;7,1;4,8;0,8;3538,9
613500;19/11/2024;-0,3;3,2;1,7;3,9;3540,6
613500;20/11/2024;-1,1;3,8;0,7;0,7;3541,3
613500;21/11/2024;-5,4;1,5;-0,7;4,8;3541,3
613500;22/11/2024;-6,1;1,9;-2;8;3541,3
613500;23/11/2024;-0,9;4,5;2,6;3,2;3543,9
613500;24/11/2024;2,4;13,1;8;7,6;3551,9
613500;25/11/2024;8,5;13;11,3;0,9;3563,2
613500;26/11/2024;5,9;9,2;7,7;0;3570,9
613500;27/11/2024;4,1;7,5;5,7;8,3;3576,6
613500;28/11/2024;4;6,2;5,3;8,1;3581,9
613500;29/11/2024;3,2;5,1;4,2;0;3586,1
613500;30/11/2024;2,3;5,2;3,8;0,2;3589,9
613500;01/12/2024;1,7;5,6;3,6;0;3593,5
613500;02/12/2024;3,1;8;6,3;0,8;3599,8
613500;03/12/2024;3,8;8,2;6,1;0,1;3605,9
613500;04/12/2024;-0,9;4,4;2,8;0;3608,7
613500;05/12/2024;-1,4;4,9;2,6;0,9;3611,3
613500;06/12/2024;2,2;4,1;3,4;1,1;3614,7
613500;07/12/2024;3,3;5,4;4,4;3,6;3619,1
613500;08/12/2024;3,6;6,5;5,2;2,8;3624,3
613500;09/12/2024;2,8;4,8;3,8;0;3628,1
613500;10/12/2024;-0,7;3,5;1,8;0;3629,9
613500;11/12/2024;-0,3;4,1;2,1;0,2;3632
613500;12/12/2024;1,6;4,2;2,8;0;3634,8
613500;13/12/2024;1;3,6;2,6;0;3637,4
613500;14/12/2024;-0,2;4,9;2,5;1,2;3639,9
613500;15/12/2024;2,7;10,1;5,9;2,8;3645,8
613500;16/12/2024;8,2;10,8;9,3;0,5;3655,1
613500;17/12/2024;7,4;9,6;8,6;0,1;3663,7
613500;18/12/2024;6;10,4;7,7;3,3;3671,4
613500;19/12/2024;4,9;10,1;7,2;9,4;3678,6
613500;20/12/2024;3,9;6;5,2;0,1;3683,8
613500;21/12/2024;5,1;7,4;6,3;3,6;3690,1
613500;22/12/2024;3,4;7,5;5,2;0,6;3695,3
613500;23/12/2024;3,6;6,1;4,9;4,2;3700,2
613500;24/12/2024;3,1;5,7;4,5;0,2;3704,7
613500;25/12/2024;4,9;7,8;6,5;0;3711,2
613500;26/12/2024;5,5;7,4;6,6;0;3717,8
613500;27/12/2024;3,6;5,9;4,9;0;3722,7
613500;28/12/2024;2,4;4,1;3,4;0;3726,1
613500;29/12/2024;2,4;7,3;5,3;0;3731,4
613500;30/12/2024;6,8;8,5;7,7;0,5;3739,1
613500;31/12/2024;4,5;8,8;6,5;1,7;3745,6
613500;01/01/2025;4,5;8,3;7,1;8,4;7,1
613500;02/01/2025;0,5;4,6;2;0,4;9,1
613500;03/01/2025;-0,4;2,2;0,9;0,5;10
613500;04/01/2025;-4,3;2,1;-0,1;0,2;10
613500;05/01/2025;-0,7;1,6;0,6;1,3;10,6
613500;06/01/2025;-0,5;9,3;4,4;14,1;15
613500;07/01/2025;0,8;5,9;4,4;3,9;19,4
613500;08/01/2025;2,4;5,3;3,8;0;23,2
613500;09/01/2025;0,1;3,5;2,3;0;25,5
613500;10/01/2025;-0,5;2;0,6;0,5;26,1
613500;11/01/2025;-0,3;2,1;0,8;0;26,9
613500;12/01/2025;-5,2;2,4;-0,2;0;26,9
613500;13/01/2025;-5,8;2,7;-0,6;0;26,9
613500;14/01/2025;2;7,1;4,5;0;31,4
613500;15/01/2025;2,1;6,3;3,8;0;35,2
613500;16/01/2025;3,8;5,7;4,9;0;40,1
613500;17/01/2025;2,5;5,1;3,5;0;43,6
613500;18/01/2025;1,6;4,5;3,5;0;47,1
613500;19/01/2025;-1,9;1,9;-0,6;0;47,1
613500;20/01/2025;-0,5;4,9;1,5;0;48,6
613500;21/01/2025;1,1;2,3;1,8;0;50,4
613500;22/01/2025;0,5;3;1,5;0,1;51,9
613500;23/01/2025;1,2;5,3;3,2;10;55,1
613500;24/01/2025;2,9;6,3;4,5;2;59,6
613500;25/01/2025;1,4;6,4;4,7;0,6;64,3
613500;26/01/2025;1,1;3,4;2,1;0,2;66,4
613500;27/01/2025;1,3;8,1;4,5;7;70,9
613500;28/01/2025;1,8;7,6;5,1;0;76
613500;29/01/2025;0,6;6,6;3,6;0,6;79,6
613500;30/01/2025;3,5;6,7;5,1;0;84,7
613500;31/01/2025;0,7;4,2;2,6;0;87,3
613500;01/02/2025;-1,3;4,8;3,3;0,6;90,6
613500;02/02/2025;-1,6;3,2;0,7;0;91,3
613500;03/02/2025;-1,8;2,8;0,1;0;91,4
613500;04/02/2025;-0,2;3,1;1,8;0;93,2
613500;05/02/2025;2;8,4;4,5;0;97,7
613500;06/02/2025;0,1;7,2;2,8;0;100,5
613500;07/02/2025;-0,7;3,4;1,9;0,4;102,4
613500;08/02/2025;0,3;2,3;1,3;0,4;103,7
613500;09/02/2025;-0,2;2,7;1,5;0;105,2
613500;10/02/2025;0,6;2,5;1,4;0;106,6
613500;11/02/2025;0;3,1;1,1;0;107,7
613500;12/02/2025;-1,1;0,5;-0,2;0,1;107,7
613500;13/02/2025;-2,2;0,5;-0,7;0,2;107,7
613500;14/02/2025;-2,7;2,3;-0,6;0;107,7
613500;15/02/2025;-3;1,3;-0,7;0,1;107,7
613500;16/02/2025;-8;-1,6;-4,8;0;107,7
613500;17/02/2025;-8,5;0,4;-3,5;0;107,7
613500;18/02/2025;-5,8;2,8;-1,7;0;107,7
613500;19/02/2025;-7,2;3,6;-1,9;0;107,7
613500;20/02/2025;-3;2,5;0,1;0;107,8
613500;21/02/2025;0,6;6,4;3,3;2,8;111,1
613500;22/02/2025;2,5;7,3;5,2;0;116,3
613500;23/02/2025;3,8;6,5;5,2;0,2;121,5
613500;24/02/2025;3,7;9;6,7;2,4;128,2
613500;25/02/2025;3,2;8,8;6,2;0;134,4
613500;26/02/2025;2,2;6,7;4,5;1,9;138,9
613500;27/02/2025;1,7;5,1;3,5;0,4;142,4
613500;28/02/2025;0,3;4,9;3,1;0,4;145,5
613500;01/03/2025;-0,3;6,5;1,8;0;147,3
613500;02/03/2025;1,7;9,1;5,5;0;152,8
613500;03/03/2025;3,2;9,6;6;0;158,8
613500;04/03/2025;4,2;10,3;6,4;0;165,2
613500;05/03/2025;4;10,2;6,5;0;171,7
613500;06/03/2025;2,5;11,4;6,7;0;178,4
613500;07/03/2025;0,1;12,7;6,4;0;184,8
613500;08/03/2025;1,2;17,2;8,4;0;193,2
613500;09/03/2025;2,8;14;7,9;0;201,1
613500;10/03/2025;1,3;13;5,6;0;206,7
613500;11/03/2025;2,6;4,1;3,4;4,5;210,1
613500;12/03/2025;1,6;7;3,9;0,5;214
613500;13/03/2025;-0,2;6,3;3;0;217
613500;14/03/2025;-1,6;4,1;1,3;0,2;218,3
613500;15/03/2025;-3,4;6,3;1,5;0;219,8
613500;16/03/2025;0,2;9,5;4,2;0;224
613500;17/03/2025;-3,1;5,4;1,6;0;225,6
613500;18/03/2025;0,2;6,7;3,7;0;229,3
613500;19/03/2025;-2,6;8,4;3,5;0;232,8
613500;20/03/2025;-3,2;13,6;5,4;0;238,2
613500;21/03/2025;1,2;12,6;5,9;0;244,1
613500;22/03/2025;1,6;11,1;5,9;0;250
613500;23/03/2025;3,6;10,7;7,1;0;257,1
613500;24/03/2025;1,2;13,1;6,5;0;263,6
613500;25/03/2025;-1;8,5;5,2;0,8;268,8
613500;26/03/2025;2,6;12,3;7,6;0;276,4
613500;27/03/2025;1,5;10,3;7,2;0;283,6
613500;28/03/2025;3,8;14,8;8,9;0;292,5
613500;29/03/2025;2,7;12,1;7,5;0;300
613500;30/03/2025;3,6;10;6,9;4,2;306,9
613500;31/03/2025;3,1;10,5;7;0;313,9
613500;01/04/2025;1;14,8;8;0;321,9
613500;02/04/2025;2,1;15,9;8,9;0;330,8
613500;03/04/2025;1,7;17,8;9,8;0;340,6
613500;04/04/2025;2,7;13,8;7,8;0;348,4
613500;05/04/2025;1,6;9,6;5,9;0;354,3
613500;06/04/2025;-2,6;9;4,4;0;358,7
613500;07/04/2025;-0,3;12,2;6;0;364,7
613500;08/04/2025;1;12,9;7,2;0;371,9
613500;09/04/2025;0,6;11,2;6,3;0;378,2
613500;10/04/2025;-0,3;14,2;7,6;0;385,8
613500;11/04/2025;6,3;14,2;9,6;0;395,4
613500;12/04/2025;5,6;14,3;9,4;0;404,8
613500;13/04/2025;5,8;16,4;10,7;0,6;415,5
613500;14/04/2025;4,2;14,6;9,2;0,1;424,7
613500;15/04/2025;3,8;19,2;11,6;0,6;436,3
613500;16/04/2025;10,9;19,7;15,1;0,1;451,4
613500;17/04/2025;9,1;19,2;13,4;0;464,8
613500;18/04/2025;9,1;11,4;10;0,6;474,8
613500;19/04/2025;7,2;9,7;8,2;8,4;483
613500;20/04/2025;7,2;9,8;8,3;5,5;491,3
613500;21/04/2025;8,3;13,3;10;0,1;501,3
613500;22/04/2025;7,9;12,7;10,1;1,2;511,4
613500;23/04/2025;5,5;14,4;9,9;0;521,3
613500;24/04/2025;4,4;15,3;9,4;0;530,7
613500;25/04/2025;5,6;13,6;8,6;0;539,3
613500;26/04/2025;2,4;15,1;9,2;0;548,5
613500;27/04/2025;4,3;14,6;9,9;0;558,4
