station;date;minte;maxte;temp;prec;tsum5;tsum0
613500;01/01/2014;1,6;3,9;2,7;0,1;0;2,7
613500;02/01/2014;1,3;6,6;3,6;6,2;0;6,3
613500;03/01/2014;3,9;7,5;5,7;3;0,7;12
613500;04/01/2014;4;6,7;5,3;0,1;1;17,3
613500;05/01/2014;3;5,6;4,9;0,2;1;22,2
613500;06/01/2014;2,6;7,8;4,9;6,9;1;27,1
613500;07/01/2014;6,3;8,8;7,7;3,9;3,7;34,8
613500;08/01/2014;6,5;8,3;7,3;0,2;6;42,1
613500;09/01/2014;5,1;8,6;6,4;10,7;7,4;48,5
613500;10/01/2014;4,7;6,8;5,8;0,4;8,2;54,3
613500;11/01/2014;3,6;6,2;5,2;7,3;8,4;59,5
613500;12/01/2014;-1,1;5,6;3,4;0,6;8,4;62,9
613500;13/01/2014;-1,9;3,8;0,3;1,2;8,4;63,2
613500;14/01/2014;1,9;4,3;3,3;0;8,4;66,5
613500;15/01/2014;0,9;4,2;2,8;0;8,4;69,3
613500;16/01/2014;0,5;2,3;1,5;6,9;8,4;70,8
613500;17/01/2014;0;2,1;1,2;4,2;8,4;72
613500;18/01/2014;1,6;2,9;2,2;2,3;8,4;74,2
613500;19/01/2014;0,9;2,7;1,7;0;8,4;75,9
613500;20/01/2014;0,1;1,5;1,1;0;8,4;77
613500;21/01/2014;-0,6;0,9;0,1;0,4;8,4;77,1
613500;22/01/2014;-1,1;0,9;-0,1;0;8,4;77,1
613500;23/01/2014;-3,3;-0,8;-2,1;0;8,4;77,1
613500;24/01/2014;-5,1;-1,5;-3,1;0;8,4;77,1
613500;25/01/2014;-8,1;-3,7;-5,7;0;8,4;77,1
613500;26/01/2014;-8,7;-4,9;-6,8;0;8,4;77,1
613500;27/01/2014;-8,3;-2,3;-4,2;1,5;8,4;77,1
613500;28/01/2014;-2,8;-0,2;-1,6;0;8,4;77,1
613500;29/01/2014;-5,6;-2,7;-4,4;0,1;8,4;77,1
613500;30/01/2014;-5,3;-3,2;-4;0;8,4;77,1
613500;31/01/2014;-4;-2;-3;0,1;8,4;77,1
613500;01/02/2014;-2,8;2,5;0,3;3,5;8,4;77,4
613500;02/02/2014;0,4;3,7;1,6;0;8,4;79
613500;03/02/2014;-1,6;3;0,3;0;8,4;79,3
613500;04/02/2014;-0,4;1,7;0,6;0,1;8,4;79,9
613500;05/02/2014;-0,5;3,7;0,7;0;8,4;80,6
613500;06/02/2014;0,5;5,2;2,9;0,3;8,4;83,5
613500;07/02/2014;2,4;6,1;4;9,1;8,4;87,5
613500;08/02/2014;1,4;4,7;3,5;2,7;8,4;91
613500;09/02/2014;2,6;6,5;4;3,4;8,4;95
613500;10/02/2014;1,6;5,8;3,6;0;8,4;98,6
613500;11/02/2014;-0,1;3,9;1,8;2,7;8,4;100,4
613500;12/02/2014;0,9;5;3;0,2;8,4;103,4
613500;13/02/2014;1;6,4;3,6;1,8;8,4;107
613500;14/02/2014;0,2;5,1;2,9;0;8,4;109,9
613500;15/02/2014;3,2;9,3;6,1;1,1;9,5;116
613500;16/02/2014;3;6,8;4,9;2,9;9,5;120,9
613500;17/02/2014;1,8;7;3,7;0;9,5;124,6
613500;18/02/2014;0,6;6,9;3,7;0,8;9,5;128,3
