station;date;minte;maxte;temp;prec;tsum5;tsum0
613500;19/02/2014;3,2;5,5;4,3;5,6;9,5;132,6
613500;20/02/2014;3,9;7,3;5,5;2,6;10;138,1
613500;21/02/2014;3;8,2;5,7;8,1;10,7;143,8
613500;22/02/2014;2,6;5,2;4;0,1;10,7;147,8
613500;23/02/2014;2,8;7,8;5,2;0;10,9;153
613500;24/02/2014;2,9;8,6;5,7;0;11,6;158,7
613500;25/02/2014;2;8,8;5,3;0;11,9;164
613500;26/02/2014;4,3;8,9;6,4;0;13,3;170,4
613500;27/02/2014;0,8;8,1;4,8;0;13,3;175,2
613500;28/02/2014;1,5;6,4;4,6;1,4;13,3;179,8
613500;01/03/2014;1,1;5,1;3,4;0,8;13,3;183,2
613500;02/03/2014;1,3;6;3,3;1,3;13,3;186,5
613500;03/03/2014;1,3;5,1;3,3;0;13,3;189,8
613500;04/03/2014;0,8;6;3,4;0,2;13,3;193,2
613500;05/03/2014;3,3;4,8;3,9;2,1;13,3;197,1
613500;06/03/2014;0,7;6,2;3,6;0;13,3;200,7
613500;07/03/2014;3,2;8,5;5,9;0,2;14,2;206,6
613500;08/03/2014;1,6;7,9;5,1;0;14,3;211,7
613500;09/03/2014;3,7;12,2;7,7;0;17;219,4
613500;10/03/2014;3,5;15,2;8,5;0;20,5;227,9
613500;11/03/2014;0,5;11,2;5,6;0;21,1;233,5
613500;12/03/2014;-1,2;11,3;4,7;0;21,1;238,2
613500;13/03/2014;-1,3;12,3;5,6;0;21,7;243,8
613500;14/03/2014;2,1;9,5;5,9;1,3;22,6;249,7
613500;15/03/2014;5,5;8,7;6,7;0,8;24,3;256,4
613500;16/03/2014;5,5;11,1;8,1;0,2;27,4;264,5
613500;17/03/2014;6,9;10,5;8,6;0;31;273,1
613500;18/03/2014;6,1;8,9;7,1;0,3;33,1;280,2
613500;19/03/2014;4,6;8,7;7;0;35,1;287,2
613500;20/03/2014;6,5;13,9;9,9;0;40;297,1
613500;21/03/2014;3,6;12;7,3;5,2;42,3;304,4
613500;22/03/2014;3,4;8,2;5,7;0,5;43;310,1
613500;23/03/2014;2,4;8,5;5,3;0;43,3;315,4
613500;24/03/2014;-1,9;9;3,5;0;43,3;318,9
613500;25/03/2014;-1,4;9;3,7;1,9;43,3;322,6
613500;26/03/2014;0,5;6,8;3,7;1,9;43,3;326,3
613500;27/03/2014;-0,4;8,4;3,4;0;43,3;329,7
613500;28/03/2014;3,2;12,3;6,5;0;44,8;336,2
613500;29/03/2014;1,8;11,9;6,1;0;45,9;342,3
613500;30/03/2014;1,8;14,8;7,7;0;48,6;350
613500;31/03/2014;2,1;10;5,3;0;48,9;355,3
613500;01/04/2014;2,6;6,8;4,4;0;48,9;359,7
613500;02/04/2014;2,8;8,9;5,4;0;49,3;365,1
613500;03/04/2014;1;10,8;5,2;0;49,5;370,3
613500;04/04/2014;0,8;7,2;3,7;0;49,5;374
613500;05/04/2014;3,1;6,6;5,3;1,1;49,8;379,3
613500;06/04/2014;6,1;11;8,5;2,1;53,3;387,8
613500;07/04/2014;9,9;13,4;11,2;5,1;59,5;399
613500;08/04/2014;7,1;13,4;10;1,5;64,5;409
613500;09/04/2014;4,8;10;7,7;0;67,2;416,7
613500;10/04/2014;4,8;8,2;6,2;0;68,4;422,9
613500;11/04/2014;3,9;11,6;7,8;3,4;71,2;430,7
613500;12/04/2014;0,6;10,6;6,1;1,4;72,3;436,8
613500;13/04/2014;6,5;11,4;8,5;0,5;75,8;445,3
613500;14/04/2014;4,9;9;6,7;3,6;77,5;452
613500;15/04/2014;2,4;9,1;6,3;0;78,8;458,3
613500;16/04/2014;0,1;11,8;6,6;0;80,4;464,9
613500;17/04/2014;2,9;13,2;8,2;3,5;83,6;473,1
613500;18/04/2014;3,3;9,2;6,6;0,5;85,2;479,7
613500;19/04/2014;2,2;16,7;9,4;0;89,6;489,1
613500;20/04/2014;7,6;20,1;13,1;0;97,7;502,2
613500;21/04/2014;10;16,5;12,6;0;105,3;514,8
613500;22/04/2014;8,3;18,8;12,9;0;113,2;527,7
613500;23/04/2014;7,1;11,2;9,1;0,4;117,3;536,8
613500;24/04/2014;4,4;11,3;7,1;3;119,4;543,9
613500;25/04/2014;4,4;17,2;10,7;0;125,1;554,6
613500;26/04/2014;4,3;19;11,8;0;131,9;566,4
613500;27/04/2014;6,3;19,2;12,3;0;139,2;578,7
613500;28/04/2014;4,4;19,5;12,1;0;146,3;590,8
613500;29/04/2014;3;18,9;12;0;153,3;602,8
613500;30/04/2014;5;17,4;12,2;0;160,5;615
613500;01/05/2014;3,7;11,2;8,2;0;163,7;623,2
613500;02/05/2014;2,3;10,8;6,9;1,1;165,6;630,1
613500;03/05/2014;-1;12,5;6,4;0;167;636,5
613500;04/05/2014;4,3;11,5;8,1;0;170,1;644,6
613500;05/05/2014;2,5;9,4;7,1;0,1;172,2;651,7
613500;06/05/2014;7,7;14,6;11;0,5;178,2;662,7
613500;07/05/2014;7,3;13,9;10,8;16;184;673,5
613500;08/05/2014;9,1;13,7;10,7;8,8;189,7;684,2
613500;09/05/2014;8,8;13,7;10,6;1,8;195,3;694,8
613500;10/05/2014;8,4;13,6;10,7;3,2;201;705,5
613500;11/05/2014;9;13,3;11;1;207;716,5
613500;12/05/2014;8,8;14;10,5;7,3;212,5;727
613500;13/05/2014;7,7;13;10;0,4;217,5;737
613500;14/05/2014;6,1;13,4;9,4;0,2;221,9;746,4
613500;15/05/2014;5,6;15,3;10,5;0;227,4;756,9
613500;16/05/2014;6,8;14,8;10,4;0;232,8;767,3
613500;17/05/2014;6,1;18,1;12,9;0;240,7;780,2
613500;18/05/2014;7,8;17,5;12,4;4,6;248,1;792,6
613500;19/05/2014;9,6;17,3;13;0;256,1;805,6
613500;20/05/2014;7;20;14,3;0;265,4;819,9
613500;21/05/2014;10,1;25,1;17,9;0;278,3;837,8
613500;22/05/2014;15;24,9;20;0;293,3;857,8
613500;23/05/2014;13,2;20,4;16,3;1,7;304,6;874,1
613500;24/05/2014;11,2;18,7;15;0;314,6;889,1
613500;25/05/2014;9,3;20,8;15,5;0;325,1;904,6
613500;26/05/2014;8,4;21,1;15,5;0;335,6;920,1
613500;27/05/2014;8,7;18,1;13,5;0;344,1;933,6
613500;28/05/2014;5,1;13,7;9,6;0;348,7;943,2
613500;29/05/2014;3,4;16,2;9,9;0;353,6;953,1
613500;30/05/2014;5,5;20,1;13,7;0;362,3;966,8
613500;31/05/2014;10,1;17,6;13;0;370,3;979,8
613500;01/06/2014;8,7;16,8;13,1;0;378,4;992,9
613500;02/06/2014;6,5;19,8;14,2;0;387,6;1007,1
613500;03/06/2014;10,4;20,8;15,6;0;398,2;1022,7
613500;04/06/2014;11;19,9;15;0;408,2;1037,7
613500;05/06/2014;10,1;19;13,9;2,4;417,1;1051,6
613500;06/06/2014;9,7;17,2;13,8;0;425,9;1065,4
613500;07/06/2014;6,2;19,7;14,1;0;435;1079,5
613500;08/06/2014;9,7;22,9;16,8;2;446,8;1096,3
613500;09/06/2014;10,9;24,1;17,8;0;459,6;1114,1
613500;10/06/2014;11,1;26,2;19;0;473,6;1133,1
613500;11/06/2014;13,4;22,7;17,6;1,7;486,2;1150,7
613500;12/06/2014;12,3;20,4;16,2;0;497,4;1166,9
613500;13/06/2014;10,1;19,4;15;0;507,4;1181,9
613500;14/06/2014;9;18,8;14,7;0;517,1;1196,6
613500;15/06/2014;7,2;20,3;14,8;0;526,9;1211,4
613500;16/06/2014;8,5;19,4;14,6;0;536,5;1226
613500;17/06/2014;8,4;21,6;16;0;547,5;1242
613500;18/06/2014;8,4;22;15,6;0;558,1;1257,6
613500;19/06/2014;11,5;17,7;14;0,7;567,1;1271,6
613500;20/06/2014;11,2;19,1;14,1;1,1;576,2;1285,7
613500;21/06/2014;10;17,2;13,1;1,2;584,3;1298,8
613500;22/06/2014;9,4;18;13,3;0;592,6;1312,1
613500;23/06/2014;9,4;18,4;13,5;0;601,1;1325,6
613500;24/06/2014;8,1;17,1;12,5;10,1;608,6;1338,1
613500;25/06/2014;6,8;20,5;14,4;0;618;1352,5
613500;26/06/2014;6,9;20,2;14,2;0;627,2;1366,7
613500;27/06/2014;6,9;21,3;15,3;0,1;637,5;1382
613500;28/06/2014;12,8;19,5;15,8;1,7;648,3;1397,8
613500;29/06/2014;9;19,3;14,8;0;658,1;1412,6
613500;30/06/2014;6,4;19,6;13,4;1,2;666,5;1426
613500;01/07/2014;8,9;19,1;14;0;675,5;1440
613500;02/07/2014;6,5;18,8;13,6;1,1;684,1;1453,6
613500;03/07/2014;11,1;20,8;15,9;0,1;695;1469,5
613500;04/07/2014;13,2;26,9;20,6;0;710,6;1490,1
613500;05/07/2014;16;27,4;20,8;0,3;726,4;1510,9
613500;06/07/2014;15,6;26,2;21;0;742,4;1531,9
613500;07/07/2014;15,4;22,5;19,4;1,9;756,8;1551,3
613500;08/07/2014;14,4;26,4;20,4;0;772,2;1571,7
613500;09/07/2014;18,2;29;23,2;2,5;790,4;1594,9
613500;10/07/2014;17,4;29;23;0;808,4;1617,9
613500;11/07/2014;14,1;25,9;20,4;0;823,8;1638,3
613500;12/07/2014;10,8;21,9;16,9;1,1;835,7;1655,2
613500;13/07/2014;13,8;18,2;16;1,7;846,7;1671,2
613500;14/07/2014;13,4;20,1;16,8;23,7;858,5;1688
613500;15/07/2014;14,1;22,6;18,6;0;872,1;1706,6
613500;16/07/2014;13,7;21,6;18;0;885,1;1724,6
613500;17/07/2014;10;24,3;18,2;0;898,3;1742,8
613500;18/07/2014;11,8;26,7;20,2;0;913,5;1763
613500;19/07/2014;13,7;27,7;20,9;0;929,4;1783,9
613500;20/07/2014;13,2;27,4;20,8;0;945,2;1804,7
613500;21/07/2014;15,8;26,8;21,4;0;961,6;1826,1
613500;22/07/2014;14,3;29,3;22;0;978,6;1848,1
613500;23/07/2014;13,5;28,5;21,5;0;995,1;1869,6
613500;24/07/2014;15,1;29;21,9;0;1012;1891,5
613500;25/07/2014;14,6;30,3;22,7;0;1029,7;1914,2
613500;26/07/2014;18;28,1;22,4;0,5;1047,1;1936,6
613500;27/07/2014;16;29;22,5;0;1064,6;1959,1
613500;28/07/2014;16,4;28;22,5;0;1082,1;1981,6
613500;29/07/2014;17,6;29,5;23,3;0;1100,4;2004,9
613500;30/07/2014;17,5;25,5;21;0;1116,4;2025,9
613500;31/07/2014;14,5;24,8;19,7;0;1131,1;2045,6
613500;01/08/2014;14,7;26,8;21,1;0,1;1147,2;2066,7
613500;02/08/2014;17,8;27,5;21,6;0;1163,8;2088,3
613500;03/08/2014;18,9;23,9;21;8,8;1179,8;2109,3
613500;04/08/2014;17,4;23,5;20,1;17,6;1194,9;2129,4
613500;05/08/2014;16,7;24,6;20,1;0;1210;2149,5
613500;06/08/2014;13,5;24,3;19,1;0,1;1224,1;2168,6
613500;07/08/2014;12,1;23,8;18,1;0;1237,2;2186,7
613500;08/08/2014;12,1;24,4;18,7;0;1250,9;2205,4
613500;09/08/2014;12,9;24,2;18,5;9,2;1264,4;2223,9
613500;10/08/2014;10,9;23,8;18,4;0,8;1277,8;2242,3
613500;11/08/2014;13,1;21,2;18,1;3,1;1290,9;2260,4
613500;12/08/2014;12,6;19,6;16,1;6,9;1302;2276,5
613500;13/08/2014;11,9;21,4;16,6;0,1;1313,6;2293,1
613500;14/08/2014;11,6;21,4;16,5;5,2;1325,1;2309,6
613500;15/08/2014;12,1;19,5;16,2;0;1336,3;2325,8
613500;16/08/2014;12,2;18,4;15,3;0;1346,6;2341,1
613500;17/08/2014;12,7;15,3;14,2;21,4;1355,8;2355,3
613500;18/08/2014;11,9;16,5;14,3;1,5;1365,1;2369,6
613500;19/08/2014;12,4;17,2;14,4;0;1374,5;2384
613500;20/08/2014;12,4;18,2;14,6;0;1384,1;2398,6
613500;21/08/2014;11,3;16,9;13,5;0,6;1392,6;2412,1
613500;22/08/2014;11,4;16,8;13,8;5,1;1401,4;2425,9
613500;23/08/2014;11,9;16,2;13,7;3;1410,1;2439,6
613500;24/08/2014;10,9;17,1;13,6;0;1418,7;2453,2
613500;25/08/2014;10,5;16,3;13;0;1426,7;2466,2
613500;26/08/2014;9,6;18,2;13,6;3,2;1435,3;2479,8
613500;27/08/2014;9,4;20,2;14,7;0;1445;2494,5
613500;28/08/2014;9,9;19,2;14,8;0;1454,8;2509,3
613500;29/08/2014;9,5;18,5;14,7;8,5;1464,5;2524
613500;30/08/2014;11,5;17,3;15,1;4,8;1474,6;2539,1
613500;31/08/2014;11,8;17,2;14,6;18,8;1484,2;2553,7
613500;01/09/2014;12,1;18,6;15,7;0;1494,9;2569,4
613500;02/09/2014;10,2;19,5;14,4;0;1504,3;2583,8
613500;03/09/2014;8,4;20,5;14,1;0;1513,4;2597,9
613500;04/09/2014;9,6;20,3;14,8;0;1523,2;2612,7
613500;05/09/2014;11,6;23,1;17;0;1535,2;2629,7
613500;06/09/2014;14;24;18,4;0;1548,6;2648,1
613500;07/09/2014;14,2;20,6;17,2;4;1560,8;2665,3
613500;08/09/2014;10;17,5;14,7;0;1570,5;2680
613500;09/09/2014;12,8;19,7;15,5;0;1581;2695,5
613500;10/09/2014;10,8;18,6;15;4,1;1591;2710,5
613500;11/09/2014;11,1;20,1;14,9;0;1600,9;2725,4
613500;12/09/2014;10,3;20,5;15,1;0;1611;2740,5
613500;13/09/2014;12,2;16,8;14,4;25,6;1620,4;2754,9
613500;14/09/2014;13,7;16,7;15,3;15,4;1630,7;2770,2
613500;15/09/2014;14,1;19,8;16,5;0;1642,2;2786,7
613500;16/09/2014;13,6;20,3;16,1;0;1653,3;2802,8
613500;17/09/2014;12,9;20,7;15,9;0;1664,2;2818,7
613500;18/09/2014;13,3;20,9;16,3;0;1675,5;2835
613500;19/09/2014;12,3;21,9;16,3;0;1686,8;2851,3
613500;20/09/2014;11,8;20,1;14,9;0;1696,7;2866,2
613500;21/09/2014;13,1;16,9;14,7;5,5;1706,4;2880,9
613500;22/09/2014;8,5;14;10,7;6,8;1712,1;2891,6
613500;23/09/2014;3,7;14,4;10,1;0;1717,2;2901,7
613500;24/09/2014;12,1;15,4;13,6;5,2;1725,8;2915,3
613500;25/09/2014;10,8;15;12,6;0,3;1733,4;2927,9
613500;26/09/2014;11,7;17,7;14,9;1,1;1743,3;2942,8
613500;27/09/2014;10,4;16,9;13,3;0;1751,6;2956,1
613500;28/09/2014;8,9;17,4;13,5;0;1760,1;2969,6
613500;29/09/2014;8,7;17,9;13,2;0;1768,3;2982,8
613500;30/09/2014;12,1;13,9;13,2;7,1;1776,5;2996
613500;01/10/2014;12,3;17,3;14,2;1,1;1785,7;3010,2
613500;02/10/2014;9,8;16,4;14,4;0;1795,1;3024,6
613500;03/10/2014;8,5;18,2;14,2;0;1804,3;3038,8
613500;04/10/2014;11,7;17;14,3;0;1813,6;3053,1
613500;05/10/2014;9;17;12,5;0;1821,1;3065,6
613500;06/10/2014;8,9;15,3;11,9;0;1828;3077,5
613500;07/10/2014;10,8;13,8;12,2;5,2;1835,2;3089,7
613500;08/10/2014;10,4;14,1;12,4;0,1;1842,6;3102,1
613500;09/10/2014;13;16,7;14,8;0,3;1852,4;3116,9
613500;10/10/2014;10,3;15,9;13,5;0;1860,9;3130,4
613500;11/10/2014;8,6;17;12,7;0;1868,6;3143,1
613500;12/10/2014;7,2;15,2;12,5;4,1;1876,1;3155,6
613500;13/10/2014;7,4;12,5;10,7;11,7;1881,8;3166,3
613500;14/10/2014;9,6;11,2;10,4;13,7;1887,2;3176,7
613500;15/10/2014;11;13,9;12,4;1,3;1894,6;3189,1
613500;16/10/2014;10,8;14,6;12,3;3,6;1901,9;3201,4
613500;17/10/2014;11,3;15;12,6;1,9;1909,5;3214
613500;18/10/2014;11,3;14,6;13,1;0;1917,6;3227,1
613500;19/10/2014;14,1;15,6;14,8;28,8;1927,4;3241,9
613500;20/10/2014;11,5;14,7;13,1;2,1;1935,5;3255
613500;21/10/2014;8,3;12,9;11,3;13,4;1941,8;3266,3
613500;22/10/2014;7,5;13,7;11;1,2;1947,8;3277,3
613500;23/10/2014;10,3;11,8;11,1;2,7;1953,9;3288,4
613500;24/10/2014;10,6;12,7;11,5;0,2;1960,4;3299,9
613500;25/10/2014;8,6;12,2;10,4;5,5;1965,8;3310,3
613500;26/10/2014;8,7;13,1;11,6;0;1972,4;3321,9
613500;27/10/2014;11;13,9;12,6;0;1980;3334,5
613500;28/10/2014;7,9;13,7;10,8;0;1985,8;3345,3
613500;29/10/2014;3,4;11,8;8,5;0;1989,3;3353,8
613500;30/10/2014;0,8;11,4;5,6;0;1989,9;3359,4
613500;31/10/2014;7,2;11,6;10;0,9;1994,9;3369,4
613500;01/11/2014;10,8;15,6;12,3;0;2002,2;3381,7
613500;02/11/2014;10,5;14,4;12,1;0;2009,3;3393,8
613500;03/11/2014;11,7;13,1;12,3;1,3;2016,6;3406,1
613500;04/11/2014;8,4;13,4;11,2;1;2022,8;3417,3
613500;05/11/2014;7,3;8,9;8,1;17,6;2025,9;3425,4
613500;06/11/2014;4,7;8,9;7,9;0,3;2028,8;3433,3
613500;07/11/2014;4,2;9,7;7,3;0,2;2031,1;3440,6
613500;08/11/2014;7,1;10;8,7;0;2034,8;3449,3
613500;09/11/2014;6,5;11,3;8,4;0;2038,2;3457,7
613500;10/11/2014;7,7;9,6;8,7;0,9;2041,9;3466,4
613500;11/11/2014;5,2;10,1;7,9;0;2044,8;3474,3
613500;12/11/2014;9,6;11,8;10,8;0;2050,6;3485,1
613500;13/11/2014;9,8;11,3;10,4;1,9;2056;3495,5
613500;14/11/2014;8,9;10,6;9,8;0;2060,8;3505,3
613500;15/11/2014;8,7;9,8;9,2;0;2065;3514,5
613500;16/11/2014;7,2;9,8;8,2;3,6;2068,2;3522,7
613500;17/11/2014;7,4;9,7;8,5;0,5;2071,7;3531,2
613500;18/11/2014;5,8;8,5;7,3;0,2;2074;3538,5
613500;19/11/2014;4,5;6,1;5,2;0,2;2074,2;3543,7
613500;20/11/2014;4,2;5,9;5;0,4;2074,2;3548,7
613500;21/11/2014;0,9;7,2;3,9;0,1;2074,2;3552,6
613500;22/11/2014;3,5;6,4;5,2;4,2;2074,4;3557,8
613500;23/11/2014;5,2;7,5;6,1;1,4;2075,5;3563,9
613500;24/11/2014;5,5;9,2;7,8;4,2;2078,3;3571,7
613500;25/11/2014;0,7;8,9;5,2;0;2078,5;3576,9
613500;26/11/2014;3,9;7,1;5,3;0;2078,8;3582,2
613500;27/11/2014;2,4;5,6;3,8;0;2078,8;3586
613500;28/11/2014;1;5,2;3;0;2078,8;3589
613500;29/11/2014;0,5;3,1;1,9;0;2078,8;3590,9
613500;30/11/2014;-0,5;2,5;0,5;0;2078,8;3591,4
613500;01/12/2014;0,7;3,1;1,9;0;2078,8;3593,3
613500;02/12/2014;-0,7;1,1;0,2;0;2078,8;3593,5
613500;03/12/2014;0,6;1,7;1;0;2078,8;3594,5
613500;04/12/2014;0,9;6;3;0;2078,8;3597,5
613500;05/12/2014;2,6;5,8;3,6;2,4;2078,8;3601,1
613500;06/12/2014;0,2;6,3;3,8;1,4;2078,8;3604,9
613500;07/12/2014;0,5;5,6;4,2;6,7;2078,8;3609,1
613500;08/12/2014;2,3;5,4;3,9;0;2078,8;3613
613500;09/12/2014;0;3,6;2,6;0;2078,8;3615,6
613500;10/12/2014;2,7;6;4,2;4,9;2078,8;3619,8
613500;11/12/2014;2,2;5,2;3,8;6,6;2078,8;3623,6
613500;12/12/2014;1,4;7,9;4,3;13,6;2078,8;3627,9
613500;13/12/2014;2,6;6,6;4,5;0,2;2078,8;3632,4
613500;14/12/2014;2,1;4,4;3,4;0;2078,8;3635,8
613500;15/12/2014;3,3;5,5;4,3;2,2;2078,8;3640,1
613500;16/12/2014;2,8;5,2;4;0,6;2078,8;3644,1
613500;17/12/2014;3,4;5,2;4,1;0,2;2078,8;3648,2
613500;18/12/2014;3,7;10,2;7,5;1,9;2081,3;3655,7
613500;19/12/2014;4,3;10,1;7,3;0,1;2083,6;3663
613500;20/12/2014;1,3;5,9;4,3;7,6;2083,6;3667,3
613500;21/12/2014;4;7,5;5,5;4,5;2084,1;3672,8
613500;22/12/2014;6,8;9,4;8,2;6,9;2087,3;3681
613500;23/12/2014;6,1;8,1;7,2;1,4;2089,5;3688,2
613500;24/12/2014;3,7;8,4;5,9;11,4;2090,4;3694,1
613500;25/12/2014;-4,8;4,3;0,3;7,1;2090,4;3694,4
613500;26/12/2014;-6,5;0,9;-2,3;0;2090,4;3694,4
613500;27/12/2014;-4,1;1,1;-1,4;0;2090,4;3694,4
613500;28/12/2014;-6;0,1;-2,4;6,1;2090,4;3694,4
613500;29/12/2014;-11,2;0,8;-3,9;3,8;2090,4;3694,4
613500;30/12/2014;0,3;4;2,5;0;2090,4;3696,9
613500;31/12/2014;3,4;7,6;5,7;0,8;2091,1;3702,6
613500;01/01/2015;4;6,1;4,9;0;0;4,9
613500;02/01/2015;3,2;9,1;5,8;3,6;0,8;10,7
613500;03/01/2015;0,9;5,7;3,9;6,1;0,8;14,6
613500;04/01/2015;1,8;4,3;3,3;0,3;0,8;17,9
613500;05/01/2015;2,7;5,6;3,8;2;0,8;21,7
613500;06/01/2015;2;3,9;3,1;1,3;0,8;24,8
613500;07/01/2015;2;6,5;4;1,5;0,8;28,8
613500;08/01/2015;3,6;6,5;4,9;1,6;0,8;33,7
613500;09/01/2015;4,2;7,6;5,8;8,6;1,6;39,5
613500;10/01/2015;3;10,1;6,2;5,4;2,8;45,7
613500;11/01/2015;1,2;4,6;3,3;0,6;2,8;49
613500;12/01/2015;2,7;8;6;1,7;3,8;55
613500;13/01/2015;4,3;8,1;5,6;2,7;4,4;60,6
613500;14/01/2015;0;5;3;4,7;4,4;63,6
613500;15/01/2015;1,7;6,4;4,1;12,1;4,4;67,7
613500;16/01/2015;3,5;6,7;5,4;0;4,8;73,1
613500;17/01/2015;1,7;4,8;3,3;0,1;4,8;76,4
613500;18/01/2015;0,9;2,6;1,8;0,2;4,8;78,2
613500;19/01/2015;0;2,1;1;3;4,8;79,2
613500;20/01/2015;-1;1,2;0,5;4,9;4,8;79,7
613500;21/01/2015;-2,5;0,3;-0,9;0;4,8;79,7
613500;22/01/2015;-2,1;1,3;-0,5;0,2;4,8;79,7
613500;23/01/2015;-1,9;0,1;-0,9;0;4,8;79,7
613500;24/01/2015;-1,9;0,8;-0,8;2,9;4,8;79,7
613500;25/01/2015;-4,8;3,2;-0,5;0;4,8;79,7
613500;26/01/2015;0,2;3,9;2,1;8,9;4,8;81,8
613500;27/01/2015;-0,1;4,5;2,4;0;4,8;84,2
613500;28/01/2015;1,2;4,2;3,3;5,1;4,8;87,5
613500;29/01/2015;0,2;2,9;1,4;1,7;4,8;88,9
613500;30/01/2015;-0,3;2;0,9;1;4,8;89,8
613500;31/01/2015;0,7;2,3;1,4;0;4,8;91,2
613500;01/02/2015;-0,4;2,2;0,8;0,6;4,8;92
613500;02/02/2015;-2,2;0,2;-1,1;6;4,8;92
613500;03/02/2015;-5,6;-1,4;-2,7;1,5;4,8;92
613500;04/02/2015;-2,2;-0,8;-1,6;0;4,8;92
613500;05/02/2015;-10,4;1,2;-2,8;0;4,8;92
613500;06/02/2015;-12,1;1,7;-3,7;0;4,8;92
613500;07/02/2015;1,4;5,7;3,5;0;4,8;95,5
613500;08/02/2015;0,8;5;2,3;0;4,8;97,8
613500;09/02/2015;2,3;6,4;4,5;0;4,8;102,3
613500;10/02/2015;1,1;7,3;4;0;4,8;106,3
613500;11/02/2015;0,6;3,2;2,1;0;4,8;108,4
613500;12/02/2015;0,2;2,1;1,3;0;4,8;109,7
613500;13/02/2015;-1;0,6;-0,1;0,1;4,8;109,7
613500;14/02/2015;-1,3;4,6;1,1;0;4,8;110,8
613500;15/02/2015;1,4;3,4;2,4;0;4,8;113,2
613500;16/02/2015;-0,1;2,4;0,8;0;4,8;114
613500;17/02/2015;-0,3;2;0,7;0;4,8;114,7
613500;18/02/2015;1,3;6;3,9;1,3;4,8;118,6
613500;19/02/2015;1;4,4;2,8;0;4,8;121,4
613500;20/02/2015;0,3;4,1;2,4;3,1;4,8;123,8
613500;21/02/2015;0,1;4,4;2,8;15,3;4,8;126,6
613500;22/02/2015;0,8;4,8;2,5;0;4,8;129,1
613500;23/02/2015;0,2;4,2;2,2;2,1;4,8;131,3
613500;24/02/2015;1,7;4,9;3,5;0,7;4,8;134,8
613500;25/02/2015;-0,1;4,6;3;0;4,8;137,8
