station;date;minte;maxte;temp;prec08;tsum5;tsum0
22;1993-01-01;-1.2;-0.1;-1.2;0;0;0
22;1993-01-02;-4.5;-2.2;-3.8;0;0;0
22;1993-01-03;-5.5;-3.5;-4.8;0.2;0;0
22;1993-01-04;-7.9;-2.7;-5.5;0;0;0
22;1993-01-05;-8.2;1.3;-3;0;0;0
22;1993-01-06;-5.3;3.7;2.4;2.7;0;2.4
22;1993-01-07;0.7;3.2;1.8;1;0;4.2
22;1993-01-08;0.6;5;2.9;0.1;0;7.1
22;1993-01-09;1.6;6;2.7;0.9;0;9.8
22;1993-01-10;1;7.9;5.1;3;0.1;14.9
22;1993-01-11;2.8;8.2;5.8;7.3;0.9;20.7
22;1993-01-12;0.8;4.5;2.9;11.4;0.9;23.6
22;1993-01-13;0.7;5.4;4;0.9;0.9;27.6
22;1993-01-14;2.1;9.3;4.7;7.3;0.9;32.3
22;1993-01-15;1.9;8.2;4.4;0.2;0.9;36.7
22;1993-01-16;2.1;10.2;7.5;1.7;3.4;44.2
22;1993-01-17;6.1;9.6;8;0.4;6.4;52.2
22;1993-01-18;3.5;5.4;4.2;0.2;6.4;56.4
22;1993-01-19;3;5.8;4.1;0.1;6.4;60.5
22;1993-01-20;3.3;7.8;5.8;2.6;7.2;66.3
22;1993-01-21;3.7;8.2;6.3;2.2;8.5;72.6
22;1993-01-22;4.9;10.3;6.9;2.2;10.4;79.5
22;1993-01-23;1.8;4.8;3.8;2;10.4;83.3
22;1993-01-24;0.8;8.5;5.4;12.4;10.8;88.7
22;1993-01-25;0.9;4.3;2.2;2.2;10.8;90.9
22;1993-01-26;-0.2;3.7;1.8;4.2;10.8;92.7
22;1993-01-27;-1.8;1.5;-0.2;4.2;10.8;92.7
22;1993-01-28;-3.6;1.6;-1.4;0;10.8;92.7
22;1993-01-29;-5.3;-0.6;-3.4;0;10.8;92.7
22;1993-01-30;-5.5;-1.3;-3;0;10.8;92.7
22;1993-01-31;-3.7;1.9;-0.5;0;10.8;92.7
22;1993-02-01;-2.2;0.7;-1.6;0;10.8;92.7
