station;date;minte;maxte;temp;prec08;tsum5;tsum0
22;1993-02-02;-3.4;2.8;-0.5;0.4;10.8;92.7
22;1993-02-03;-2.4;4.6;3.6;0;10.8;96.3
22;1993-02-04;2.9;6.1;4.6;0.5;10.8;100.9
22;1993-02-05;3.9;6.5;4.6;0;10.8;105.5
22;1993-02-06;0.6;2.2;1.2;0;10.8;106.7
22;1993-02-07;-1;3;0.6;4.4;10.8;107.3
22;1993-02-08;-0.6;6.9;4.5;0;10.8;111.8
22;1993-02-09;3.3;5.2;3.4;0.3;10.8;115.2
22;1993-02-10;0.3;1.7;1.1;0.2;10.8;116.3
22;1993-02-11;0.2;1.5;0.9;0.2;10.8;117.2
22;1993-02-12;0.3;2.3;1.2;0.2;10.8;118.4
22;1993-02-13;0.4;2.4;2;0;10.8;120.4
22;1993-02-14;1.4;3.1;2.2;0;10.8;122.6
22;1993-02-15;0.7;1.8;0.6;0.1;10.8;123.2
22;1993-02-16;-0.4;5.4;3.2;1.5;10.8;126.4
22;1993-02-17;2.5;6.6;4.5;3.3;10.8;130.9
22;1993-02-18;-0.9;4.9;2.5;0;10.8;133.4
22;1993-02-19;1.3;5.1;2.8;2.8;10.8;136.2
22;1993-02-20;-0.1;3.8;1.8;1.1;10.8;138
22;1993-02-21;-1.6;2;-1.2;4;10.8;138
22;1993-02-22;-5.9;0;-3.6;0.1;10.8;138
22;1993-02-23;-6.8;-0.7;-3.8;0;10.8;138
22;1993-02-24;-6.8;-0.2;-3.3;0;10.8;138
22;1993-02-25;-6.1;-0.4;-1.6;0;10.8;138
22;1993-02-26;-3.6;1.3;-0.8;0.1;10.8;138
22;1993-02-27;-3.3;1.9;0.6;0.4;10.8;138.6
22;1993-02-28;-1.5;0.3;-0.7;0.3;10.8;138.6
22;1993-03-01;-2.9;2.4;-0.7;0;10.8;138.6
22;1993-03-02;-2.8;0.4;-0.1;0;10.8;138.6
22;1993-03-03;-0.8;1;-0.3;0;10.8;138.6
22;1993-03-04;-1.3;1.7;-0.4;0;10.8;138.6
22;1993-03-05;-2.4;3.8;0.7;0;10.8;139.3
22;1993-03-06;-0.4;6.1;2.2;1.8;10.8;141.5
22;1993-03-07;-0.9;6.3;2.1;0.3;10.8;143.6
22;1993-03-08;-2.2;1.6;-0.1;0;10.8;143.6
22;1993-03-09;-3.2;3.7;0.5;0;10.8;144.1
22;1993-03-10;-3;4.6;0.7;0.2;10.8;144.8
22;1993-03-11;-2.5;4.8;1.3;0;10.8;146.1
22;1993-03-12;-1.7;3.7;1.6;0;10.8;147.7
22;1993-03-13;0.1;7.9;4.1;0;10.8;151.8
22;1993-03-14;1.9;11.6;6.8;0.4;12.6;158.6
22;1993-03-15;-1.5;11;5.6;0.2;13.2;164.2
22;1993-03-16;0;8;6.4;0;14.6;170.6
22;1993-03-17;4.8;8.7;6.9;0.2;16.5;177.5
22;1993-03-18;5.9;7.9;6.4;0.2;17.9;183.9
22;1993-03-19;3;7.1;5;0;17.9;188.9
22;1993-03-20;3.7;8.4;6.2;0;19.1;195.1
22;1993-03-21;3.3;9.4;5.4;0;19.5;200.5
22;1993-03-22;3.4;9.4;6.6;0;21.1;207.1
22;1993-03-23;3.9;7.9;4.8;1.8;21.1;211.9
22;1993-03-24;0.8;6.7;3.4;2.3;21.1;215.3
22;1993-03-25;1.2;6.5;3.3;0.2;21.1;218.6
22;1993-03-26;0.2;4.9;2.1;0;21.1;220.7
22;1993-03-27;-1.3;5.1;1.3;0;21.1;222
22;1993-03-28;-4.1;4.9;0.6;0;21.1;222.6
22;1993-03-29;-2.9;4.2;0.3;0;21.1;222.9
22;1993-03-30;-2;4.5;0.8;0;21.1;223.7
22;1993-03-31;-4;5.1;1.5;0;21.1;225.2
22;1993-04-01;-2.8;6.6;4;0;21.1;229.2
22;1993-04-02;1.8;8.8;5.1;0;21.2;234.3
22;1993-04-03;2.9;8.3;5.5;0;21.7;239.8
22;1993-04-04;3.6;4.8;4.1;0.6;21.7;243.9
22;1993-04-05;3.3;10.2;6.2;1.2;22.9;250.1
22;1993-04-06;3.8;9.3;7.2;4;25.1;257.3
22;1993-04-07;4.1;8.2;6;3;26.1;263.3
22;1993-04-08;3.9;5.9;4.8;0.1;26.1;268.1
22;1993-04-09;0.9;5.7;2.6;0.1;26.1;270.7
22;1993-04-10;-3.1;4.9;0.8;0;26.1;271.5
22;1993-04-11;-2.2;6.2;1.7;0;26.1;273.2
22;1993-04-12;-1.5;6.4;2.3;0;26.1;275.5
22;1993-04-13;-1.2;7.5;2.9;0;26.1;278.4
22;1993-04-14;0.2;9.1;4.2;0;26.1;282.6
22;1993-04-15;-0.9;10.5;4.5;0;26.1;287.1
22;1993-04-16;-1.5;10.9;5.4;0;26.5;292.5
22;1993-04-17;1.9;10.1;7.7;0.6;29.2;300.2
22;1993-04-18;4.3;8;6;1.2;30.2;306.2
22;1993-04-19;3;10.3;6.5;0.5;31.7;312.7
22;1993-04-20;3;9.9;6.2;0;32.9;318.9
22;1993-04-21;4.2;18.9;11.2;0;39.1;330.1
22;1993-04-22;5.2;16.1;10.6;0;44.7;340.7
22;1993-04-23;7.6;15.6;11.7;1;51.4;352.4
22;1993-04-24;7.2;17.9;12.5;0.2;58.9;364.9
22;1993-04-25;9.2;21.6;14.6;0;68.5;379.5
22;1993-04-26;10;23.7;16.5;0;80;396
22;1993-04-27;7.7;25.5;17.1;0;92.1;413.1
22;1993-04-28;8.5;25.1;17.2;0;104.3;430.3
22;1993-04-29;7.9;19;13.2;0;112.5;443.5
22;1993-04-30;9.2;19.4;13.5;0;121;457
22;1993-05-01;7.6;21.2;13.9;0;129.9;470.9
22;1993-05-02;9.9;20.8;15.2;0;140.1;486.1
22;1993-05-03;9.1;12.7;10;1.8;145.1;496.1
22;1993-05-04;4.5;11.9;8;0.2;148.1;504.1
22;1993-05-05;1.8;11.2;6.8;0;149.9;510.9
22;1993-05-06;-1.2;13;7.4;0;152.3;518.3
22;1993-05-07;6.2;14.6;11;0;158.3;529.3
22;1993-05-08;5.6;18.5;12.5;0;165.8;541.8
22;1993-05-09;9;22.1;15.7;0;176.5;557.5
22;1993-05-10;10.3;21.8;15.7;0;187.2;573.2
22;1993-05-11;11;20.9;15.2;0;197.4;588.4
22;1993-05-12;10.4;20.1;14.5;0;206.9;602.9
22;1993-05-13;8;23.8;16;0;217.9;618.9
22;1993-05-14;12.2;20;15.3;0;228.2;634.2
22;1993-05-15;11.2;18.5;14.2;0;237.4;648.4
22;1993-05-16;7.1;15.3;11.4;4.7;243.8;659.8
22;1993-05-17;5;18.4;12.8;0;251.6;672.6
22;1993-05-18;9.5;18.9;14.3;0;260.9;686.9
22;1993-05-19;10.5;22.8;16.5;0;272.4;703.4
22;1993-05-20;12.3;24.1;18.3;0;285.7;721.7
22;1993-05-21;13.6;23.8;17.8;0;298.5;739.5
22;1993-05-22;14.1;20.6;16.5;2.7;310;756
22;1993-05-23;10.8;22.2;17;0;322;773
22;1993-05-24;8.2;21.1;15.2;0;332.2;788.2
22;1993-05-25;9.3;16.4;12.4;0;339.6;800.6
22;1993-05-26;4.8;14.3;10.2;0.1;344.8;810.8
22;1993-05-27;2;16.9;10.5;0;350.3;821.3
22;1993-05-28;9.5;15.5;11.6;0;356.9;832.9
22;1993-05-29;7.9;14.4;11;3.3;362.9;843.9
22;1993-05-30;8.8;17.6;13.5;0;371.4;857.4
22;1993-05-31;10.8;15.8;13;0.8;379.4;870.4
22;1993-06-01;11.5;14.2;12.6;1.3;387;883
22;1993-06-02;5.6;17;11.7;0.2;393.7;894.7
22;1993-06-03;6;18.9;12.6;0;401.3;907.3
22;1993-06-04;3.3;20.1;13.8;0;410.1;921.1
22;1993-06-05;5.3;21;14.8;0;419.9;935.9
22;1993-06-06;8.9;18.8;14.4;0;429.3;950.3
22;1993-06-07;11.5;18;14.3;0;438.6;964.6
22;1993-06-08;6.5;20.9;14.8;0;448.4;979.4
22;1993-06-09;9.7;22.2;17.5;0;460.9;996.9
22;1993-06-10;9.9;26;18.6;0;474.5;1015.5
22;1993-06-11;13;24.6;18;0;487.5;1033.5
22;1993-06-12;13.3;20.3;16;0;498.5;1049.5
22;1993-06-13;13.5;19.4;15;0;508.5;1064.5
22;1993-06-14;5.8;17.7;12.3;0.3;515.8;1076.8
22;1993-06-15;9.4;16.5;12.5;0.3;523.3;1089.3
22;1993-06-16;10.3;15.2;12.7;0.3;531;1102
22;1993-06-17;11.8;17.6;13.7;0.2;539.7;1115.7
22;1993-06-18;9.1;17;13.5;0;548.2;1129.2
22;1993-06-19;13.2;18.9;15.4;3.8;558.6;1144.6
22;1993-06-20;10.5;18.6;14;2;567.6;1158.6
22;1993-06-21;9.6;14.9;12.3;0;574.9;1170.9
22;1993-06-22;7.4;15.9;12;1.4;581.9;1182.9
22;1993-06-23;4.8;15.6;10.7;0;587.6;1193.6
22;1993-06-24;5.9;15.1;10.5;4;593.1;1204.1
22;1993-06-25;9.4;14.4;11.4;3.2;599.5;1215.5
22;1993-06-26;10.1;17.9;13.1;0;607.6;1228.6
22;1993-06-27;11;15.3;12.1;6.9;614.7;1240.7
22;1993-06-28;9.1;20.9;15.7;2.9;625.4;1256.4
22;1993-06-29;10.4;20.4;15.5;0;635.9;1271.9
22;1993-06-30;10.4;21.9;16.3;0;647.2;1288.2
22;1993-07-01;6.9;23.2;16.5;0;658.7;1304.7
22;1993-07-02;8.3;20.3;15.2;0;668.9;1319.9
22;1993-07-03;11.4;16.9;14.5;0.6;678.4;1334.4
22;1993-07-04;13.5;20.9;17.1;5.7;690.5;1351.5
22;1993-07-05;13;17.4;14.8;0;700.3;1366.3
22;1993-07-06;10.3;16.5;13;0;708.3;1379.3
22;1993-07-07;11;17.1;13.3;0.4;716.6;1392.6
22;1993-07-08;10.4;18.1;13.9;0;725.5;1406.5
22;1993-07-09;11.4;20.6;17.1;0;737.6;1423.6
22;1993-07-10;12.6;17.3;14.2;0;746.8;1437.8
22;1993-07-11;7.9;17.3;13.7;1;755.5;1451.5
22;1993-07-12;11.6;16.8;13.4;3.9;763.9;1464.9
22;1993-07-13;10.2;15;12.1;0;771;1477
22;1993-07-14;7.1;19.4;13.4;0.5;779.4;1490.4
22;1993-07-15;7.8;20.6;14.6;0;789;1505
22;1993-07-16;5.4;22.6;15.6;0;799.6;1520.6
22;1993-07-17;14.3;21.5;16.9;0.4;811.5;1537.5
22;1993-07-18;14.4;20.3;16.2;8.1;822.7;1553.7
22;1993-07-19;9.1;19.6;15.2;1;832.9;1568.9
22;1993-07-20;13.3;20.7;16.3;0;844.2;1585.2
22;1993-07-21;11.9;18.7;14.3;0;853.5;1599.5
22;1993-07-22;11.5;18.5;14;1.8;862.5;1613.5
22;1993-07-23;11.6;18.9;14.5;0.2;872;1628
22;1993-07-24;13;22.6;17.8;1.5;884.8;1645.8
22;1993-07-25;14.6;16.3;15;2.4;894.8;1660.8
22;1993-07-26;12.4;17.9;14.4;11.1;904.2;1675.2
22;1993-07-27;12;18.9;14.3;0.8;913.5;1689.5
22;1993-07-28;11.4;16.6;13.9;4.8;922.4;1703.4
22;1993-07-29;11.5;20.8;16.3;8.8;933.7;1719.7
22;1993-07-30;14.4;20.4;17.8;3.7;946.5;1737.5
22;1993-07-31;14.3;16.4;14.5;7.7;956;1752
22;1993-08-01;12.4;19.4;15.3;8.1;966.3;1767.3
22;1993-08-02;6.9;21.9;15.6;0;976.9;1782.9
22;1993-08-03;13.9;19;16;8.6;987.9;1798.9
22;1993-08-04;11;20.2;16.1;0.9;999;1815
22;1993-08-05;11.5;21.5;16.4;0;1010.4;1831.4
22;1993-08-06;11.6;16.9;14.8;4.4;1020.2;1846.2
22;1993-08-07;13.4;19.2;15.7;6.9;1030.9;1861.9
22;1993-08-08;13.5;20.6;16.3;0;1042.2;1878.2
22;1993-08-09;11;19;15.1;0;1052.3;1893.3
22;1993-08-10;14.1;18.2;15.4;8;1062.7;1908.7
22;1993-08-11;11.5;17.8;13.9;0.6;1071.6;1922.6
22;1993-08-12;12.4;19;16.2;1.1;1082.8;1938.8
22;1993-08-13;11.7;18.8;14.6;18;1092.4;1953.4
22;1993-08-14;5.4;20.5;14.2;0;1101.6;1967.6
22;1993-08-15;12.4;24.1;18.3;0.3;1114.9;1985.9
22;1993-08-16;15.2;19.4;17;1.2;1126.9;2002.9
22;1993-08-17;11.1;17.4;14.1;0.3;1136;2017
22;1993-08-18;10.3;17.6;13.8;0;1144.8;2030.8
22;1993-08-19;12;19.3;15.1;0;1154.9;2045.9
22;1993-08-20;12.5;17.2;15.3;0;1165.2;2061.2
22;1993-08-21;11.8;18.4;14.7;0.1;1174.9;2075.9
22;1993-08-22;10.3;16.9;13.1;0.3;1183;2089
22;1993-08-23;8.9;17.2;12.6;4.9;1190.6;2101.6
22;1993-08-24;8.9;15.9;11.9;2.1;1197.5;2113.5
22;1993-08-25;8.1;16.8;12.6;1.6;1205.1;2126.1
22;1993-08-26;7.5;17.3;12.9;0;1213;2139
22;1993-08-27;8.2;17.2;12.3;2;1220.3;2151.3
22;1993-08-28;6.1;18.2;12.5;0.1;1227.8;2163.8
22;1993-08-29;8;15.8;12.8;0;1235.6;2176.6
22;1993-08-30;11.2;14.3;11.7;2.9;1242.3;2188.3
22;1993-08-31;9;15.6;12.6;9.1;1249.9;2200.9
22;1993-09-01;7.7;17.5;13.1;0;1258;2214
22;1993-09-02;9.9;16.4;13.8;0.6;1266.8;2227.8
22;1993-09-03;11.7;14.3;12.5;1;1274.3;2240.3
22;1993-09-04;7.6;16.1;11.5;3.1;1280.8;2251.8
22;1993-09-05;6.9;15;10.9;0.2;1286.7;2262.7
22;1993-09-06;8.4;16;12.6;0;1294.3;2275.3
22;1993-09-07;8.3;15.9;11.8;0.3;1301.1;2287.1
22;1993-09-08;6.7;16.3;12.4;0;1308.5;2299.5
22;1993-09-09;10.6;13.9;12.9;0;1316.4;2312.4
22;1993-09-10;12;13.7;13.1;7;1324.5;2325.5
22;1993-09-11;12.2;14.9;13;11;1332.5;2338.5
22;1993-09-12;10.6;12.2;11.3;19.4;1338.8;2349.8
22;1993-09-13;6.8;13.3;10.1;2.1;1343.9;2359.9
22;1993-09-14;7.9;11.7;10.6;8.8;1349.5;2370.5
22;1993-09-15;8.7;11.2;9.4;15.3;1353.9;2379.9
22;1993-09-16;6.1;9.7;8.1;1.6;1357;2388
22;1993-09-17;6.5;9.1;8.1;0;1360.1;2396.1
22;1993-09-18;5.5;12.5;8.7;1.3;1363.8;2404.8
22;1993-09-19;1.4;13.5;7.9;0.1;1366.7;2412.7
22;1993-09-20;3.1;14.3;10.4;0;1372.1;2423.1
22;1993-09-21;7.2;17.4;13.4;0;1380.5;2436.5
22;1993-09-22;9.9;14.4;12.8;0.2;1388.3;2449.3
22;1993-09-23;10.7;13.5;11.5;18;1394.8;2460.8
22;1993-09-24;6.1;12.2;9.9;0;1399.7;2470.7
22;1993-09-25;8.3;12.8;11.5;5.6;1406.2;2482.2
22;1993-09-26;10.7;12.7;12;0;1413.2;2494.2
22;1993-09-27;10.8;13.5;11.6;10.3;1419.8;2505.8
22;1993-09-28;10.7;11.3;10.7;1.4;1425.5;2516.5
22;1993-09-29;9.5;11.6;9.7;0;1430.2;2526.2
22;1993-09-30;6;10.9;8.2;0;1433.4;2534.4
22;1993-10-01;6.2;10.4;8.3;0;1436.7;2542.7
22;1993-10-02;6.7;12.7;10.5;0;1442.2;2553.2
22;1993-10-03;9.6;12.5;11.1;0;1448.3;2564.3
22;1993-10-04;10.3;13.3;12;2.2;1455.3;2576.3
22;1993-10-05;10.5;14.2;12.4;0.7;1462.7;2588.7
22;1993-10-06;10.9;15.3;13;0;1470.7;2601.7
22;1993-10-07;10.1;13;11.2;1.5;1476.9;2612.9
22;1993-10-08;6.7;16.5;11.2;0.2;1483.1;2624.1
22;1993-10-09;7;13.2;11.7;20.5;1489.8;2635.8
22;1993-10-10;8.9;11.5;10.3;4.7;1495.1;2646.1
22;1993-10-11;6.8;14.3;10.2;0;1500.3;2656.3
22;1993-10-12;6.8;15.1;12;0.2;1507.3;2668.3
22;1993-10-13;9.1;13.6;10.5;10;1512.8;2678.8
22;1993-10-14;6.4;7.9;5.8;8.4;1513.6;2684.6
22;1993-10-15;2.8;8.8;5.4;8;1514;2690
22;1993-10-16;2.8;7.8;5.7;0;1514.7;2695.7
22;1993-10-17;3.5;6.7;4.5;0;1514.7;2700.2
22;1993-10-18;-1.7;8;3;0;1514.7;2703.2
22;1993-10-19;-1.7;8.1;2.8;0;1514.7;2706
22;1993-10-20;-2.6;6.4;2;0;1514.7;2708
22;1993-10-21;-2.5;6.4;5.1;0.3;1514.8;2713.1
22;1993-10-22;3.6;7.1;5;2.7;1514.8;2718.1
22;1993-10-23;0.6;6.8;3;0;1514.8;2721.1
22;1993-10-24;-2;6.6;2.4;0;1514.8;2723.5
22;1993-10-25;-2;10.1;5.4;0;1515.2;2728.9
22;1993-10-26;0.7;9.6;5.4;0.1;1515.6;2734.3
22;1993-10-27;-0.2;7.3;3;0.2;1515.6;2737.3
22;1993-10-28;-0.2;7.3;6.3;0;1516.9;2743.6
22;1993-10-29;4.2;6.5;5.4;0;1517.3;2749
22;1993-10-30;2.2;7.7;4.5;0;1517.3;2753.5
22;1993-10-31;-1.1;6.3;3.9;0;1517.3;2757.4
22;1993-11-01;1.2;9.4;4.8;0;1517.3;2762.2
22;1993-11-02;0.1;7.4;3.8;0.2;1517.3;2766
22;1993-11-03;0.9;8.2;6.6;0;1518.9;2772.6
22;1993-11-04;5.7;6.9;6.4;0;1520.3;2779
22;1993-11-05;5.3;6.8;5.8;0;1521.1;2784.8
22;1993-11-06;4.3;6.1;4.7;0;1521.1;2789.5
22;1993-11-07;3.9;7.3;6.2;0.2;1522.3;2795.7
22;1993-11-08;4.6;5.5;5.1;0.6;1522.4;2800.8
22;1993-11-09;4.1;6.2;4.9;3;1522.4;2805.7
22;1993-11-10;4.1;7.1;6.3;0;1523.7;2812
22;1993-11-11;5;6.6;5.1;0.4;1523.8;2817.1
22;1993-11-12;3.7;7.6;6.3;4;1525.1;2823.4
22;1993-11-13;3.9;6.4;5.4;0.1;1525.5;2828.8
22;1993-11-14;4.2;6.2;4.3;9.2;1525.5;2833.1
22;1993-11-15;1.1;2.9;1.7;9.1;1525.5;2834.8
22;1993-11-16;-1.7;2.7;0;0;1525.5;2834.8
22;1993-11-17;-3;2.7;-0.5;0;1525.5;2834.8
22;1993-11-18;-3.6;2.6;-1.1;0;1525.5;2834.8
22;1993-11-19;-3.6;1.8;-0.2;0;1525.5;2834.8
22;1993-11-20;-2.5;1.7;-0.1;0.3;1525.5;2834.8
22;1993-11-21;-1.8;0.7;-0.7;1.9;1525.5;2834.8
22;1993-11-22;-3.4;0.3;-2.3;3.3;1525.5;2834.8
22;1993-11-23;-3.7;0.3;-1.9;4;1525.5;2834.8
22;1993-11-24;-3.7;-0.4;-2.4;1.7;1525.5;2834.8
22;1993-11-25;-6;-0.9;-2.2;0.3;1525.5;2834.8
22;1993-11-26;-2.5;0.5;-0.9;0;1525.5;2834.8
22;1993-11-27;-1.7;1.3;0.6;0;1525.5;2835.4
22;1993-11-28;-3.4;0.8;-0.8;0;1525.5;2835.4
22;1993-11-29;-3.4;0.7;-0.4;0;1525.5;2835.4
22;1993-11-30;-2.9;0.4;-3.2;0;1525.5;2835.4
22;1993-12-01;-5;-2.1;-3;0.2;1525.5;2835.4
22;1993-12-02;-3.5;4.5;0.7;0.2;1525.5;2836.1
22;1993-12-03;-0.9;7.3;5.8;7.1;1526.3;2841.9
22;1993-12-04;3.8;7.7;6.1;0.5;1527.4;2848
22;1993-12-05;4;6.9;5.5;1.1;1527.9;2853.5
22;1993-12-06;4.3;6.4;5.8;0.2;1528.7;2859.3
22;1993-12-07;5.2;6;5.2;0.4;1528.9;2864.5
22;1993-12-08;2.7;4.4;3.4;0.6;1528.9;2867.9
22;1993-12-09;0.3;6.2;3.9;8;1528.9;2871.8
22;1993-12-10;0.1;5.5;3;3.4;1528.9;2874.8
22;1993-12-11;0.1;5.4;3.8;3.5;1528.9;2878.6
22;1993-12-12;0.8;4.2;2.5;1.4;1528.9;2881.1
22;1993-12-13;-1.4;0.8;-0.3;0;1528.9;2881.1
22;1993-12-14;-1.7;-0.2;-1.3;0;1528.9;2881.1
22;1993-12-15;-2.7;1.6;0.3;0;1528.9;2881.4
22;1993-12-16;0.4;4.2;2.5;3.6;1528.9;2883.9
22;1993-12-17;1.4;4.1;3.1;5.8;1528.9;2887
22;1993-12-18;1.3;7.2;3.7;0.2;1528.9;2890.7
22;1993-12-19;1.3;9.6;8.2;1.9;1532.1;2898.9
22;1993-12-20;1.8;6.6;2.7;10.1;1532.1;2901.6
22;1993-12-21;-0.1;2.8;1.5;0.1;1532.1;2903.1
22;1993-12-22;-0.1;2.5;1.8;0;1532.1;2904.9
22;1993-12-23;0.1;3;1.9;2.5;1532.1;2906.8
22;1993-12-24;0.1;2.5;1.6;0.6;1532.1;2908.4
22;1993-12-25;0.5;1.7;0.8;1;1532.1;2909.2
22;1993-12-26;0.4;2.2;1.5;6.3;1532.1;2910.7
22;1993-12-27;0.7;1.4;0.8;0.2;1532.1;2911.5
22;1993-12-28;-0.1;0.9;0.3;2.2;1532.1;2911.8
22;1993-12-29;-0.7;1.8;1;1.4;1532.1;2912.8
22;1993-12-30;0.7;4.4;3.3;4.1;1532.1;2916.1
22;1993-12-31;2.7;4.5;3.3;4.4;1532.1;2919.4
22;1994-01-01;0.9;2.8;1.8;0.1;0;1.8
22;1994-01-02;1;1.7;1.1;0.2;0;2.9
22;1994-01-03;-0.5;1;0.2;0;0;3.1
22;1994-01-04;-0.9;4.6;2.3;2.8;0;5.4
22;1994-01-05;1.2;4.7;3.5;2.2;0;8.9
22;1994-01-06;1.8;4.8;3.9;5.4;0;12.8
22;1994-01-07;2.7;5.6;4.6;0.7;0;17.4
22;1994-01-08;2.9;4.9;3.3;0;0;20.7
22;1994-01-09;0.7;3.1;1.8;0.3;0;22.5
22;1994-01-10;0.7;3.4;2.8;0;0;25.3
22;1994-01-11;2.1;2.8;2.2;0;0;27.5
22;1994-01-12;1.7;5.3;3.5;2.1;0;31
22;1994-01-13;2.3;8.3;6.6;9.9;1.6;37.6
22;1994-01-14;4.6;6.4;5.2;9.1;1.8;42.8
22;1994-01-15;3;4.4;3.7;3.9;1.8;46.5
22;1994-01-16;-0.1;2;-0.6;0;1.8;46.5
22;1994-01-17;-4.7;0.7;-1.8;0;1.8;46.5
22;1994-01-18;-4.6;3.1;1.6;1.1;1.8;48.1
22;1994-01-19;0.4;4.3;3.4;13.8;1.8;51.5
22;1994-01-20;1.1;3.6;2.7;0.4;1.8;54.2
22;1994-01-21;1.1;5.8;4.7;0;1.8;58.9
22;1994-01-22;4.1;5.9;5.2;0.1;2;64.1
22;1994-01-23;2.6;6.6;3.6;0.3;2;67.7
22;1994-01-24;0;3.5;2;6.3;2;69.7
22;1994-01-25;0.7;4.9;2;0;2;71.7
22;1994-01-26;0.1;4.2;3.3;6.1;2;75
22;1994-01-27;2;6.5;4.7;1.9;2;79.7
22;1994-01-28;1.1;4.6;2.6;4.3;2;82.3
22;1994-01-29;-0.2;1.3;0.5;4.4;2;82.8
22;1994-01-30;-0.2;6.5;4;1.5;2;86.8
22;1994-01-31;3.1;5.3;3.8;3.4;2;90.6
22;1994-02-01;2.3;4.2;3.5;0.6;2;94.1
22;1994-02-02;0.1;4.9;3.1;5;2;97.2
22;1994-02-03;0.7;1.7;0.8;1.7;2;98
22;1994-02-04;-1.1;0.8;-0.2;0;2;98
22;1994-02-05;-1.2;0.9;0.2;0;2;98.2
22;1994-02-06;-0.3;0.7;0.3;0;2;98.5
22;1994-02-07;-0.1;0.5;0.2;0;2;98.7
22;1994-02-08;0;0.8;0.2;0.5;2;98.9
22;1994-02-09;-0.9;3.5;1.6;0.2;2;100.5
22;1994-02-10;0.8;3.5;2.4;5.6;2;102.9
22;1994-02-11;0.9;2.1;1;2;2;103.9
22;1994-02-12;-2.1;-0.6;-2.1;0;2;103.9
22;1994-02-13;-4.8;-3.2;-4.5;0;2;103.9
22;1994-02-14;-5.1;-1.8;-3.8;0;2;103.9
22;1994-02-15;-5.5;-0.7;-3.2;0;2;103.9
22;1994-02-16;-5.5;-0.4;-3.3;0;2;103.9
22;1994-02-17;-7.1;1.1;-3.3;0;2;103.9
22;1994-02-18;-7.9;0.1;-4;0;2;103.9
22;1994-02-19;-7.2;-0.3;-2.3;0;2;103.9
22;1994-02-20;-4.8;-0.5;-3;1.2;2;103.9
22;1994-02-21;-4.7;0.5;-0.5;0.6;2;103.9
22;1994-02-22;-2.2;-1.3;-2.1;0.5;2;103.9
22;1994-02-23;-3;-0.5;-1.9;1.2;2;103.9
22;1994-02-24;-2.9;-1.5;-2.5;0;2;103.9
22;1994-02-25;-3.8;-0.1;-2.1;0;2;103.9
22;1994-02-26;-5.6;-0.4;-1.8;0.1;2;103.9
22;1994-02-27;-3.1;0.8;0.2;6.8;2;104.1
22;1994-02-28;-0.1;0.8;-0.1;8.8;2;104.1
22;1994-03-01;-2.7;-0.5;-1.7;0;2;104.1
22;1994-03-02;-2.7;-0.1;-0.8;1.4;2;104.1
22;1994-03-03;-1.7;1.8;0.7;4;2;104.8
22;1994-03-04;0.3;3.4;1.6;4.8;2;106.4
22;1994-03-05;0.3;5.3;3.3;0.2;2;109.7
22;1994-03-06;2.1;6.1;3.8;1.7;2;113.5
22;1994-03-07;2.3;7.9;4.9;1.7;2;118.4
22;1994-03-08;1.8;7.7;4.8;1.1;2;123.2
22;1994-03-09;2.8;7.5;5.9;0.4;2.9;129.1
