field_id,sea_name,block,plot,trt_name
sexy1,26/27,B1,101,xa
sexy1,26/27,B1,102,xaprows
sexy1,26/27,B1,103,xpcc
sexy1,26/27,B1,104,p
sexy1,26/27,B1,105,a
sexy1,26/27,B1,106,aprows
sexy1,26/27,B1,107,pcc
sexy1,26/27,B1,108,xapmix
sexy1,26/27,B1,109,xp
sexy1,26/27,B1,110,acc
sexy1,26/27,B1,111,apmix
sexy1,26/27,B1,112,xacc
sexy1,26/27,B2,201,xapmix
sexy1,26/27,B2,202,apmix
sexy1,26/27,B2,203,p
sexy1,26/27,B2,204,xaprows
sexy1,26/27,B2,205,xpcc
sexy1,26/27,B2,206,acc
sexy1,26/27,B2,207,a
sexy1,26/27,B2,208,xacc
sexy1,26/27,B2,209,aprows
sexy1,26/27,B2,210,xp
sexy1,26/27,B2,211,pcc
sexy1,26/27,B2,212,xa
sexy1,26/27,B3,301,pcc
sexy1,26/27,B3,302,aprows
sexy1,26/27,B3,303,xacc
sexy1,26/27,B3,304,xa
sexy1,26/27,B3,305,xpcc
sexy1,26/27,B3,306,a
sexy1,26/27,B3,307,xapmix
sexy1,26/27,B3,308,xp
sexy1,26/27,B3,309,p
sexy1,26/27,B3,310,xaprows
sexy1,26/27,B3,311,acc
sexy1,26/27,B3,312,apmix
sexy1,26/27,B4,401,acc
sexy1,26/27,B4,402,xaprows
sexy1,26/27,B4,403,a
sexy1,26/27,B4,404,xa
sexy1,26/27,B4,405,apmix
sexy1,26/27,B4,406,xapmix
sexy1,26/27,B4,407,pcc
sexy1,26/27,B4,408,p
sexy1,26/27,B4,409,aprows
sexy1,26/27,B4,410,xacc
sexy1,26/27,B4,411,xpcc
sexy1,26/27,B4,412,xp
