lab_id,analyzer_id,nitraten_mgl,filename
V25-226-1,20250001,3.84,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-2,20250002,4.01,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-3,20250003,5.55,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-4,20250004,3.51,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-5,20250005,2.68,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-6,20250006,0.8,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-7,20250007,0.4,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-8,20250008,1.3,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-9,20250009,9.33,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-10,20250010,11.42,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-11,20250011,2.19,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-12,20250012,under detektionsgrænse,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-13,20250013,6.23,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-14,20250014,5.19,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-15,20250015,1.76,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-16,20250016,3.68,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-17,20250017,2.61,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-18,20250018,4.08,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-19,20250019,4.57,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-20,20250020,9.94,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-21,20250021,4.5,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-22,20250022,3.98,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-23,20250023,15.38,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-24,20250024,14.56,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-25,20250025,0.18,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-26,20250026,0.96,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-27,20250027,under detektionsgrænse,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-28,20250028,1.0900000000000001,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-29,20250029,1.41,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-30,20250030,2.38,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-31,20250031,2.4300000000000002,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
