lab_id,analyzer_id,nitraten_mgl,filename
V25-226-32,20250032,5.88,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-33,20250033,9.33,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-34,20250034,6.96,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-35,20250035,9.4700000000000006,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-36,20250036,0.95,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-37,20250037,9.02,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-38,20250038,2.14,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-39,20250039,4.54,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-40,20250040,8.58,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-41,20250041,8.36,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-42,20250042,2.02,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-43,20250043,1.86,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-44,20250044,0.38,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-45,20250045,1.58,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-46,20250046,1.77,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-47,20250047,0.49,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-48,20250048,11.6,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-49,20250049,3.76,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-50,20250050,3.72,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-51,20250051,ingen prøve,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-52,20250052,2.95,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-53,20250053,4.38,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-54,20250054,0.21,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-55,20250055,0.38,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-56,20250056,0.56999999999999995,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-57,20250057,9.33,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-58,20250058,7.12,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-59,20250059,3.23,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-60,20250060,under detektionsgrænse,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-61,20250061,6.02,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-62,20250062,4.24,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-63,20250063,2.5499999999999998,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-64,20250064,4.3099999999999996,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-65,20250065,2.13,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-66,20250066,4.37,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-67,20250067,4.63,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-68,20250068,9.18,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-69,20250069,4.74,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-70,20250070,4.49,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-71,20250071,15.14,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-72,20250072,17.190000000000001,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-73,20250073,under detektionsgrænse,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-74,20250074,0.42,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-75,20250075,7.0000000000000007E-2,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-76,20250076,0.5,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-77,20250077,0.37,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-78,20250078,2.34,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-79,20250079,2.4,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-80,20250080,3.17,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-81,20250081,9.5299999999999994,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-82,20250082,6.65,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-83,20250083,8.1999999999999993,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-84,20250084,1.3,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-85,20250085,9.34,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-86,20250086,4.82,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-87,20250087,2.1800000000000002,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-88,20250088,7.86,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-89,20250089,9.19,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-90,20250090,5.36,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-91,20250091,2.36,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-92,20250092,0.45,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-93,20250093,1.37,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-94,20250094,1.21,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-95,20250095,0.99,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-226-96,20250096,11.94,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.03.30_V25-226_resultater.xlsx
V25-299-1,20250097,2.88,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-2,20250098,5.01,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-3,20250099,3.47,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-4,20250100,3.37,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-5,20250101,4.92,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-6,20250102,under detektionsgrænse,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-7,20250103,0.67,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-8,20250104,1.02,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-9,20250105,7.8,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-10,20250106,5.12,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-11,20250107,3.48,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-12,20250108,2.19,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-13,20250109,5.92,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-14,20250110,7.73,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-15,20250111,5.67,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-16,20250112,4.53,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-17,20250113,4.0199999999999996,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-18,20250114,5.77,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-19,20250115,5.88,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-20,20250116,8.75,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-21,20250117,11.67,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-22,20250118,5.3,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-23,20250119,11.58,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-24,20250120,14.33,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-25,20250121,0.56000000000000005,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-26,20250122,0.28999999999999998,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-27,20250123,0.74,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-28,20250124,0.84,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-29,20250125,0.2,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-30,20250126,3.31,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-31,20250127,6.82,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-32,20250128,4.16,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-33,20250129,10.210000000000001,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-34,20250130,6.04,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-35,20250131,5.95,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-36,20250132,3.64,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-37,20250133,10.87,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-38,20250134,5.65,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-39,20250135,6.22,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-40,20250136,8.98,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-41,20250137,10.78,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-42,20250138,7.47,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-43,20250139,3.08,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-44,20250140,1.22,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-45,20250141,4.41,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-46,20250142,5.91,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-47,20250143,1.83,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-48,20250144,11.22,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-49,20250145,4.76,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-50,20250146,5.68,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-51,20250147,3.61,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-52,20250148,3.34,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-53,20250149,6.69,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-54,20250150,0.09,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-55,20250151,0.38,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-56,20250152,2.3199999999999998,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-57,20250153,8.76,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-58,20250154,3.78,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-59,20250155,3.56,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-60,20250156,3.64,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-61,20250157,7.07,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-62,20250158,9.48,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-63,20250159,8.1300000000000008,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-64,20250160,1.8,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-65,20250161,6.43,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-66,20250162,6.59,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-67,20250163,10.8,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-68,20250164,6.8,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-69,20250165,10.84,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-70,20250166,7.7,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-71,20250167,9.92,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-72,20250168,12.54,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-73,20250169,0.53,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-74,20250170,0.61,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-75,20250171,mistet(flaske revnet),data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-76,20250172,0.44,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-77,20250173,0.28000000000000003,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-78,20250174,2.83,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-79,20250175,6.08,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-80,20250176,3.43,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-81,20250177,10.3,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-82,20250178,5.99,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-83,20250179,6.3,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-84,20250180,4.47,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-85,20250181,10.48,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-86,20250182,5.19,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-87,20250183,3.71,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-88,20250184,3.7,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-89,20250185,12.96,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-90,20250186,12.11,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-91,20250187,3.17,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-92,20250188,3.78,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-93,20250189,4.76,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-94,20250190,5.57,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-95,20250191,3,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V25-299-96,20250192,11.55,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V25-299_resultater.xlsx
V26-26-1,20250289,5.68,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-2,20250290,6.68,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-3,20250291,6.1,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-4,20250292,2.67,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-5,20250293,5.45,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-6,20250294,1.38,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-7,20250295,under detektionsgrænse,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-8,20250296,6.2,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-9,20250297,10.33,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-10,20250298,0.81,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-11,20250299,9.73,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-12,20250300,5.67,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-13,20250301,11.99,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-14,20250302,6.57,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-15,20250303,6.91,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-16,20250304,under detektionsgrænse,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-17,20250305,6.99,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-18,20250306,5.61,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-19,20250307,8.08,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-20,20250308,0.23,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-21,20250309,11.69,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-22,20250310,6.93,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-23,20250311,9,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-24,20250312,15.94,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-25,20250313,0.55000000000000004,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-26,20250314,0.2,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-27,20250315,1.59,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-28,20250316,0.46,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-29,20250317,0.52,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
V26-26-30,20250318,2.67,data-raw/sexy1/sw_nitrate/sexy1-raw/2026.04.28_V26-26_resultater.xlsx
